date,hour,store_id,solar_kwh,solar_capacity_kw,efficiency_pct
2025-10-07,11,RH-001,69.13,100.0,69.1
2025-10-07,12,RH-001,74.56,100.0,74.6
2025-10-07,13,RH-001,45.46,100.0,45.5
2025-10-07,14,RH-001,22.88,100.0,22.9
2025-10-07,15,RH-001,46.96,100.0,47.0
2025-10-07,16,RH-001,12.15,100.0,12.2
2025-10-08,8,RH-001,11.22,100.0,11.2
2025-10-08,9,RH-001,40.05,100.0,40.0
2025-10-08,10,RH-001,67.95,100.0,68.0
2025-10-08,11,RH-001,34.79,100.0,34.8
2025-10-08,12,RH-001,80.93,100.0,80.9
2025-10-08,13,RH-001,29.87,100.0,29.9
2025-10-08,14,RH-001,67.71,100.0,67.7
2025-10-08,15,RH-001,26.59,100.0,26.6
2025-10-08,16,RH-001,15.25,100.0,15.2
2025-10-09,8,RH-001,11.0,100.0,11.0
2025-10-09,9,RH-001,51.25,100.0,51.2
2025-10-09,10,RH-001,45.31,100.0,45.3
2025-10-09,11,RH-001,27.03,100.0,27.0
2025-10-09,12,RH-001,33.3,100.0,33.3
2025-10-09,13,RH-001,50.08,100.0,50.1
2025-10-09,14,RH-001,67.19,100.0,67.2
2025-10-09,15,RH-001,50.71,100.0,50.7
2025-10-09,16,RH-001,12.18,100.0,12.2
2025-10-10,8,RH-001,17.18,100.0,17.2
2025-10-10,9,RH-001,33.29,100.0,33.3
2025-10-10,10,RH-001,22.56,100.0,22.6
2025-10-10,11,RH-001,70.94,100.0,70.9
2025-10-10,12,RH-001,80.29,100.0,80.3
2025-10-10,13,RH-001,43.84,100.0,43.8
2025-10-10,14,RH-001,20.6,100.0,20.6
2025-10-10,15,RH-001,47.17,100.0,47.2
2025-10-10,16,RH-001,24.96,100.0,25.0
2025-10-11,8,RH-001,22.78,100.0,22.8
2025-10-11,9,RH-001,27.84,100.0,27.8
2025-10-11,10,RH-001,55.13,100.0,55.1
2025-10-11,11,RH-001,43.96,100.0,44.0
2025-10-11,12,RH-001,26.27,100.0,26.3
2025-10-11,13,RH-001,78.34,100.0,78.3
2025-10-11,14,RH-001,52.46,100.0,52.5
2025-10-11,15,RH-001,34.66,100.0,34.7
2025-10-11,16,RH-001,15.54,100.0,15.5
2025-10-12,8,RH-001,27.88,100.0,27.9
2025-10-12,9,RH-001,30.3,100.0,30.3
2025-10-12,10,RH-001,32.52,100.0,32.5
2025-10-12,11,RH-001,73.69,100.0,73.7
2025-10-12,12,RH-001,50.7,100.0,50.7
2025-10-12,13,RH-001,50.47,100.0,50.5
2025-10-12,14,RH-001,38.4,100.0,38.4
2025-10-12,15,RH-001,35.32,100.0,35.3
2025-10-12,16,RH-001,16.78,100.0,16.8
2025-10-13,8,RH-001,14.29,100.0,14.3
2025-10-13,9,RH-001,41.46,100.0,41.5
2025-10-13,10,RH-001,26.72,100.0,26.7
2025-10-13,11,RH-001,44.13,100.0,44.1
2025-10-13,12,RH-001,76.31,100.0,76.3
2025-10-13,13,RH-001,61.79,100.0,61.8
2025-10-13,14,RH-001,61.56,100.0,61.6
2025-10-13,15,RH-001,22.21,100.0,22.2
2025-10-13,16,RH-001,8.08,100.0,8.1
2025-10-14,8,RH-001,27.54,100.0,27.5
2025-10-14,9,RH-001,51.23,100.0,51.2
2025-10-14,10,RH-001,41.27,100.0,41.3
2025-10-14,11,RH-001,80.1,100.0,80.1
2025-10-14,12,RH-001,37.53,100.0,37.5
2025-10-14,13,RH-001,38.49,100.0,38.5
2025-10-14,14,RH-001,60.68,100.0,60.7
2025-10-14,15,RH-001,48.28,100.0,48.3
2025-10-14,16,RH-001,21.7,100.0,21.7
2025-10-15,8,RH-001,10.33,100.0,10.3
2025-10-15,9,RH-001,25.33,100.0,25.3
2025-10-15,10,RH-001,28.7,100.0,28.7
2025-10-15,11,RH-001,81.53,100.0,81.5
2025-10-15,12,RH-001,70.63,100.0,70.6
2025-10-15,13,RH-001,32.47,100.0,32.5
2025-10-15,14,RH-001,21.43,100.0,21.4
2025-10-15,15,RH-001,37.41,100.0,37.4
2025-10-15,16,RH-001,10.09,100.0,10.1
2025-10-16,8,RH-001,22.11,100.0,22.1
2025-10-16,9,RH-001,22.89,100.0,22.9
2025-10-16,10,RH-001,58.94,100.0,58.9
2025-10-16,11,RH-001,68.34,100.0,68.3
2025-10-16,12,RH-001,26.24,100.0,26.2
2025-10-16,13,RH-001,41.55,100.0,41.5
2025-10-16,14,RH-001,32.8,100.0,32.8
2025-10-16,15,RH-001,39.15,100.0,39.1
2025-10-16,16,RH-001,9.5,100.0,9.5
2025-10-17,8,RH-001,19.78,100.0,19.8
2025-10-17,9,RH-001,29.02,100.0,29.0
2025-10-17,10,RH-001,23.71,100.0,23.7
2025-10-17,11,RH-001,52.18,100.0,52.2
2025-10-17,12,RH-001,38.0,100.0,38.0
2025-10-17,13,RH-001,80.68,100.0,80.7
2025-10-17,14,RH-001,55.07,100.0,55.1
2025-10-17,15,RH-001,23.89,100.0,23.9
2025-10-17,16,RH-001,8.27,100.0,8.3
2025-10-18,8,RH-001,14.91,100.0,14.9
2025-10-18,9,RH-001,20.13,100.0,20.1
2025-10-18,10,RH-001,28.32,100.0,28.3
2025-10-18,11,RH-001,32.08,100.0,32.1
2025-10-18,12,RH-001,34.73,100.0,34.7
2025-10-18,13,RH-001,34.47,100.0,34.5
2025-10-18,14,RH-001,50.09,100.0,50.1
2025-10-18,15,RH-001,37.48,100.0,37.5
2025-10-18,16,RH-001,20.63,100.0,20.6
2025-10-19,8,RH-001,23.91,100.0,23.9
2025-10-19,9,RH-001,21.64,100.0,21.6
2025-10-19,10,RH-001,53.18,100.0,53.2
2025-10-19,11,RH-001,38.67,100.0,38.7
2025-10-19,12,RH-001,86.31,100.0,86.3
2025-10-19,13,RH-001,48.78,100.0,48.8
2025-10-19,14,RH-001,61.91,100.0,61.9
2025-10-19,15,RH-001,36.34,100.0,36.3
2025-10-19,16,RH-001,16.01,100.0,16.0
2025-10-20,8,RH-001,14.89,100.0,14.9
2025-10-20,9,RH-001,39.87,100.0,39.9
2025-10-20,10,RH-001,37.66,100.0,37.7
2025-10-20,11,RH-001,57.11,100.0,57.1
2025-10-20,12,RH-001,43.52,100.0,43.5
2025-10-20,13,RH-001,46.76,100.0,46.8
2025-10-20,14,RH-001,42.82,100.0,42.8
2025-10-20,15,RH-001,23.31,100.0,23.3
2025-10-20,16,RH-001,14.46,100.0,14.5
2025-10-21,8,RH-001,31.65,100.0,31.6
2025-10-21,9,RH-001,45.11,100.0,45.1
2025-10-21,10,RH-001,43.14,100.0,43.1
2025-10-21,11,RH-001,38.26,100.0,38.3
2025-10-21,12,RH-001,73.95,100.0,74.0
2025-10-21,13,RH-001,42.12,100.0,42.1
2025-10-21,14,RH-001,60.15,100.0,60.2
2025-10-21,15,RH-001,18.46,100.0,18.5
2025-10-21,16,RH-001,14.75,100.0,14.8
2025-10-22,8,RH-001,18.66,100.0,18.7
2025-10-22,9,RH-001,30.46,100.0,30.5
2025-10-22,10,RH-001,31.27,100.0,31.3
2025-10-22,11,RH-001,39.95,100.0,40.0
2025-10-22,12,RH-001,68.34,100.0,68.3
2025-10-22,13,RH-001,45.03,100.0,45.0
2025-10-22,14,RH-001,23.11,100.0,23.1
2025-10-22,15,RH-001,57.09,100.0,57.1
2025-10-22,16,RH-001,25.76,100.0,25.8
2025-10-23,8,RH-001,13.2,100.0,13.2
2025-10-23,9,RH-001,28.43,100.0,28.4
2025-10-23,10,RH-001,49.36,100.0,49.4
2025-10-23,11,RH-001,76.88,100.0,76.9
2025-10-23,12,RH-001,26.01,100.0,26.0
2025-10-23,13,RH-001,76.46,100.0,76.5
2025-10-23,14,RH-001,55.76,100.0,55.8
2025-10-23,15,RH-001,19.28,100.0,19.3
2025-10-23,16,RH-001,24.9,100.0,24.9
2025-10-24,8,RH-001,21.53,100.0,21.5
2025-10-24,9,RH-001,23.81,100.0,23.8
2025-10-24,10,RH-001,54.01,100.0,54.0
2025-10-24,11,RH-001,29.2,100.0,29.2
2025-10-24,12,RH-001,56.89,100.0,56.9
2025-10-24,13,RH-001,50.89,100.0,50.9
2025-10-24,14,RH-001,62.41,100.0,62.4
2025-10-24,15,RH-001,31.68,100.0,31.7
2025-10-24,16,RH-001,24.71,100.0,24.7
2025-10-25,8,RH-001,18.8,100.0,18.8
2025-10-25,9,RH-001,22.71,100.0,22.7
2025-10-25,10,RH-001,38.66,100.0,38.7
2025-10-25,11,RH-001,27.9,100.0,27.9
2025-10-25,12,RH-001,66.2,100.0,66.2
2025-10-25,13,RH-001,42.86,100.0,42.9
2025-10-25,14,RH-001,46.49,100.0,46.5
2025-10-25,15,RH-001,42.43,100.0,42.4
2025-10-25,16,RH-001,23.79,100.0,23.8
2025-10-26,8,RH-001,27.59,100.0,27.6
2025-10-26,9,RH-001,30.62,100.0,30.6
2025-10-26,10,RH-001,30.94,100.0,30.9
2025-10-26,11,RH-001,30.74,100.0,30.7
2025-10-26,12,RH-001,69.93,100.0,69.9
2025-10-26,13,RH-001,69.29,100.0,69.3
2025-10-26,14,RH-001,44.38,100.0,44.4
2025-10-26,15,RH-001,43.38,100.0,43.4
2025-10-26,16,RH-001,28.93,100.0,28.9
2025-10-27,8,RH-001,24.1,100.0,24.1
2025-10-27,9,RH-001,27.12,100.0,27.1
2025-10-27,10,RH-001,48.25,100.0,48.2
2025-10-27,11,RH-001,44.78,100.0,44.8
2025-10-27,12,RH-001,24.36,100.0,24.4
2025-10-27,13,RH-001,32.76,100.0,32.8
2025-10-27,14,RH-001,36.63,100.0,36.6
2025-10-27,15,RH-001,37.78,100.0,37.8
2025-10-27,16,RH-001,22.6,100.0,22.6
2025-10-28,8,RH-001,25.61,100.0,25.6
2025-10-28,9,RH-001,25.0,100.0,25.0
2025-10-28,10,RH-001,51.06,100.0,51.1
2025-10-28,11,RH-001,57.49,100.0,57.5
2025-10-28,12,RH-001,54.54,100.0,54.5
2025-10-28,13,RH-001,30.76,100.0,30.8
2025-10-28,14,RH-001,57.43,100.0,57.4
2025-10-28,15,RH-001,42.48,100.0,42.5
2025-10-28,16,RH-001,20.2,100.0,20.2
2025-10-29,8,RH-001,12.33,100.0,12.3
2025-10-29,9,RH-001,24.71,100.0,24.7
2025-10-29,10,RH-001,25.38,100.0,25.4
2025-10-29,11,RH-001,66.52,100.0,66.5
2025-10-29,12,RH-001,25.17,100.0,25.2
2025-10-29,13,RH-001,27.14,100.0,27.1
2025-10-29,14,RH-001,61.87,100.0,61.9
2025-10-29,15,RH-001,45.47,100.0,45.5
2025-10-29,16,RH-001,9.59,100.0,9.6
2025-10-30,8,RH-001,21.91,100.0,21.9
2025-10-30,9,RH-001,31.49,100.0,31.5
2025-10-30,10,RH-001,26.27,100.0,26.3
2025-10-30,11,RH-001,39.87,100.0,39.9
2025-10-30,12,RH-001,43.18,100.0,43.2
2025-10-30,13,RH-001,33.85,100.0,33.9
2025-10-30,14,RH-001,38.81,100.0,38.8
2025-10-30,15,RH-001,24.61,100.0,24.6
2025-10-30,16,RH-001,20.9,100.0,20.9
2025-10-31,8,RH-001,29.71,100.0,29.7
2025-10-31,9,RH-001,15.37,100.0,15.4
2025-10-31,10,RH-001,53.05,100.0,53.0
2025-10-31,11,RH-001,25.43,100.0,25.4
2025-10-31,12,RH-001,56.13,100.0,56.1
2025-10-31,13,RH-001,38.32,100.0,38.3
2025-10-31,14,RH-001,30.51,100.0,30.5
2025-10-31,15,RH-001,54.69,100.0,54.7
2025-10-31,16,RH-001,24.45,100.0,24.4
2025-11-01,8,RH-001,30.0,100.0,30.0
2025-11-01,9,RH-001,21.67,100.0,21.7
2025-11-01,10,RH-001,27.77,100.0,27.8
2025-11-01,11,RH-001,24.47,100.0,24.5
2025-11-01,12,RH-001,62.1,100.0,62.1
2025-11-01,13,RH-001,57.52,100.0,57.5
2025-11-01,14,RH-001,58.18,100.0,58.2
2025-11-01,15,RH-001,20.73,100.0,20.7
2025-11-01,16,RH-001,9.33,100.0,9.3
2025-11-02,8,RH-001,20.12,100.0,20.1
2025-11-02,9,RH-001,33.56,100.0,33.6
2025-11-02,10,RH-001,46.02,100.0,46.0
2025-11-02,11,RH-001,64.08,100.0,64.1
2025-11-02,12,RH-001,56.67,100.0,56.7
2025-11-02,13,RH-001,60.83,100.0,60.8
2025-11-02,14,RH-001,33.34,100.0,33.3
2025-11-02,15,RH-001,46.79,100.0,46.8
2025-11-02,16,RH-001,26.27,100.0,26.3
2025-11-03,8,RH-001,8.38,100.0,8.4
2025-11-03,9,RH-001,29.0,100.0,29.0
2025-11-03,10,RH-001,27.55,100.0,27.6
2025-11-03,11,RH-001,47.17,100.0,47.2
2025-11-03,12,RH-001,42.69,100.0,42.7
2025-11-03,13,RH-001,66.77,100.0,66.8
2025-11-03,14,RH-001,29.48,100.0,29.5
2025-11-03,15,RH-001,20.89,100.0,20.9
2025-11-03,16,RH-001,28.43,100.0,28.4
2025-11-04,8,RH-001,15.89,100.0,15.9
2025-11-04,9,RH-001,24.63,100.0,24.6
2025-11-04,10,RH-001,46.24,100.0,46.2
2025-11-04,11,RH-001,49.54,100.0,49.5
2025-11-04,12,RH-001,48.12,100.0,48.1
2025-11-04,13,RH-001,51.31,100.0,51.3
2025-11-04,14,RH-001,25.01,100.0,25.0
2025-11-04,15,RH-001,17.66,100.0,17.7
2025-11-04,16,RH-001,24.69,100.0,24.7
2025-11-05,8,RH-001,28.57,100.0,28.6
2025-11-05,9,RH-001,20.9,100.0,20.9
2025-11-05,10,RH-001,45.33,100.0,45.3
2025-11-05,11,RH-001,76.42,100.0,76.4
2025-11-05,12,RH-001,27.77,100.0,27.8
2025-11-05,13,RH-001,31.19,100.0,31.2
2025-11-05,14,RH-001,43.06,100.0,43.1
2025-11-05,15,RH-001,42.58,100.0,42.6
2025-11-05,16,RH-001,12.27,100.0,12.3
2025-11-06,8,RH-001,12.31,100.0,12.3
2025-11-06,9,RH-001,34.7,100.0,34.7
2025-11-06,10,RH-001,41.57,100.0,41.6
2025-11-06,11,RH-001,43.11,100.0,43.1
2025-11-06,12,RH-001,29.65,100.0,29.6
2025-11-06,13,RH-001,58.45,100.0,58.5
2025-11-06,14,RH-001,70.36,100.0,70.4
2025-11-06,15,RH-001,41.62,100.0,41.6
2025-11-06,16,RH-001,14.91,100.0,14.9
2025-11-07,8,RH-001,21.4,100.0,21.4
2025-11-07,9,RH-001,20.19,100.0,20.2
2025-11-07,10,RH-001,29.83,100.0,29.8
2025-11-07,11,RH-001,34.57,100.0,34.6
2025-11-07,12,RH-001,69.24,100.0,69.2
2025-11-07,13,RH-001,69.48,100.0,69.5
2025-11-07,14,RH-001,47.8,100.0,47.8
2025-11-07,15,RH-001,20.58,100.0,20.6
2025-11-07,16,RH-001,15.9,100.0,15.9
2025-11-08,8,RH-001,11.73,100.0,11.7
2025-11-08,9,RH-001,23.7,100.0,23.7
2025-11-08,10,RH-001,60.48,100.0,60.5
2025-11-08,11,RH-001,42.45,100.0,42.5
2025-11-08,12,RH-001,34.18,100.0,34.2
2025-11-08,13,RH-001,48.03,100.0,48.0
2025-11-08,14,RH-001,26.41,100.0,26.4
2025-11-08,15,RH-001,24.76,100.0,24.8
2025-11-08,16,RH-001,22.5,100.0,22.5
2025-11-09,8,RH-001,20.13,100.0,20.1
2025-11-09,9,RH-001,47.14,100.0,47.1
2025-11-09,10,RH-001,36.24,100.0,36.2
2025-11-09,11,RH-001,61.25,100.0,61.3
2025-11-09,12,RH-001,34.23,100.0,34.2
2025-11-09,13,RH-001,47.72,100.0,47.7
2025-11-09,14,RH-001,28.54,100.0,28.5
2025-11-09,15,RH-001,21.56,100.0,21.6
2025-11-09,16,RH-001,24.41,100.0,24.4
2025-11-10,8,RH-001,9.95,100.0,9.9
2025-11-10,9,RH-001,49.25,100.0,49.2
2025-11-10,10,RH-001,47.14,100.0,47.1
2025-11-10,11,RH-001,68.47,100.0,68.5
2025-11-10,12,RH-001,47.24,100.0,47.2
2025-11-10,13,RH-001,56.07,100.0,56.1
2025-11-10,14,RH-001,20.24,100.0,20.2
2025-11-10,15,RH-001,21.7,100.0,21.7
2025-11-10,16,RH-001,21.81,100.0,21.8
2025-11-11,8,RH-001,12.62,100.0,12.6
2025-11-11,9,RH-001,42.02,100.0,42.0
2025-11-11,10,RH-001,27.86,100.0,27.9
2025-11-11,11,RH-001,55.95,100.0,56.0
2025-11-11,12,RH-001,34.34,100.0,34.3
2025-11-11,13,RH-001,71.1,100.0,71.1
2025-11-11,14,RH-001,19.03,100.0,19.0
2025-11-11,15,RH-001,29.63,100.0,29.6
2025-11-11,16,RH-001,24.56,100.0,24.6
2025-11-12,8,RH-001,10.77,100.0,10.8
2025-11-12,9,RH-001,46.72,100.0,46.7
2025-11-12,10,RH-001,50.97,100.0,51.0
2025-11-12,11,RH-001,46.01,100.0,46.0
2025-11-12,12,RH-001,38.76,100.0,38.8
2025-11-12,13,RH-001,72.65,100.0,72.7
2025-11-12,14,RH-001,58.67,100.0,58.7
2025-11-12,15,RH-001,30.64,100.0,30.6
2025-11-12,16,RH-001,19.98,100.0,20.0
2025-11-13,8,RH-001,23.77,100.0,23.8
2025-11-13,9,RH-001,30.73,100.0,30.7
2025-11-13,10,RH-001,23.27,100.0,23.3
2025-11-13,11,RH-001,29.3,100.0,29.3
2025-11-13,12,RH-001,41.63,100.0,41.6
2025-11-13,13,RH-001,49.4,100.0,49.4
2025-11-13,14,RH-001,34.25,100.0,34.2
2025-11-13,15,RH-001,24.79,100.0,24.8
2025-11-13,16,RH-001,23.4,100.0,23.4
2025-11-14,8,RH-001,14.92,100.0,14.9
2025-11-14,9,RH-001,49.43,100.0,49.4
2025-11-14,10,RH-001,32.67,100.0,32.7
2025-11-14,11,RH-001,36.31,100.0,36.3
2025-11-14,12,RH-001,47.3,100.0,47.3
2025-11-14,13,RH-001,39.18,100.0,39.2
2025-11-14,14,RH-001,23.12,100.0,23.1
2025-11-14,15,RH-001,18.14,100.0,18.1
2025-11-14,16,RH-001,20.34,100.0,20.3
2025-11-15,8,RH-001,22.36,100.0,22.4
2025-11-15,9,RH-001,23.94,100.0,23.9
2025-11-15,10,RH-001,38.13,100.0,38.1
2025-11-15,11,RH-001,32.13,100.0,32.1
2025-11-15,12,RH-001,50.67,100.0,50.7
2025-11-15,13,RH-001,36.48,100.0,36.5
2025-11-15,14,RH-001,59.18,100.0,59.2
2025-11-15,15,RH-001,18.69,100.0,18.7
2025-11-15,16,RH-001,22.05,100.0,22.1
2025-11-16,8,RH-001,31.49,100.0,31.5
2025-11-16,9,RH-001,27.69,100.0,27.7
2025-11-16,10,RH-001,43.43,100.0,43.4
2025-11-16,11,RH-001,28.35,100.0,28.4
2025-11-16,12,RH-001,74.46,100.0,74.5
2025-11-16,13,RH-001,60.85,100.0,60.9
2025-11-16,14,RH-001,26.24,100.0,26.2
2025-11-16,15,RH-001,21.64,100.0,21.6
2025-11-16,16,RH-001,10.48,100.0,10.5
2025-11-17,8,RH-001,19.61,100.0,19.6
2025-11-17,9,RH-001,42.1,100.0,42.1
2025-11-17,10,RH-001,61.21,100.0,61.2
2025-11-17,11,RH-001,37.23,100.0,37.2
2025-11-17,12,RH-001,59.68,100.0,59.7
2025-11-17,13,RH-001,67.01,100.0,67.0
2025-11-17,14,RH-001,24.8,100.0,24.8
2025-11-17,15,RH-001,31.03,100.0,31.0
2025-11-17,16,RH-001,18.01,100.0,18.0
2025-11-18,8,RH-001,16.58,100.0,16.6
2025-11-18,9,RH-001,47.03,100.0,47.0
2025-11-18,10,RH-001,20.85,100.0,20.9
2025-11-18,11,RH-001,58.07,100.0,58.1
2025-11-18,12,RH-001,52.55,100.0,52.5
2025-11-18,13,RH-001,27.81,100.0,27.8
2025-11-18,14,RH-001,46.24,100.0,46.2
2025-11-18,15,RH-001,39.12,100.0,39.1
2025-11-18,16,RH-001,18.88,100.0,18.9
2025-11-19,8,RH-001,25.69,100.0,25.7
2025-11-19,9,RH-001,21.71,100.0,21.7
2025-11-19,10,RH-001,21.46,100.0,21.5
2025-11-19,11,RH-001,27.17,100.0,27.2
2025-11-19,12,RH-001,24.22,100.0,24.2
2025-11-19,13,RH-001,22.01,100.0,22.0
2025-11-19,14,RH-001,24.72,100.0,24.7
2025-11-19,15,RH-001,30.51,100.0,30.5
2025-11-19,16,RH-001,23.02,100.0,23.0
2025-11-20,8,RH-001,12.44,100.0,12.4
2025-11-20,9,RH-001,36.93,100.0,36.9
2025-11-20,10,RH-001,30.6,100.0,30.6
2025-11-20,11,RH-001,62.46,100.0,62.5
2025-11-20,12,RH-001,66.47,100.0,66.5
2025-11-20,13,RH-001,62.7,100.0,62.7
2025-11-20,14,RH-001,55.35,100.0,55.4
2025-11-20,15,RH-001,29.33,100.0,29.3
2025-11-20,16,RH-001,22.89,100.0,22.9
2025-11-21,8,RH-001,23.35,100.0,23.4
2025-11-21,9,RH-001,36.33,100.0,36.3
2025-11-21,10,RH-001,41.06,100.0,41.1
2025-11-21,11,RH-001,66.4,100.0,66.4
2025-11-21,12,RH-001,44.73,100.0,44.7
2025-11-21,13,RH-001,50.4,100.0,50.4
2025-11-21,14,RH-001,52.26,100.0,52.3
2025-11-21,15,RH-001,47.02,100.0,47.0
2025-11-21,16,RH-001,27.83,100.0,27.8
2025-11-22,8,RH-001,27.83,100.0,27.8
2025-11-22,9,RH-001,26.96,100.0,27.0
2025-11-22,10,RH-001,46.98,100.0,47.0
2025-11-22,11,RH-001,66.31,100.0,66.3
2025-11-22,12,RH-001,40.45,100.0,40.5
2025-11-22,13,RH-001,70.55,100.0,70.5
2025-11-22,14,RH-001,61.18,100.0,61.2
2025-11-22,15,RH-001,49.21,100.0,49.2
2025-11-22,16,RH-001,26.43,100.0,26.4
2025-11-23,8,RH-001,19.35,100.0,19.4
2025-11-23,9,RH-001,19.2,100.0,19.2
2025-11-23,10,RH-001,24.59,100.0,24.6
2025-11-23,11,RH-001,57.56,100.0,57.6
2025-11-23,12,RH-001,41.82,100.0,41.8
2025-11-23,13,RH-001,58.26,100.0,58.3
2025-11-23,14,RH-001,42.89,100.0,42.9
2025-11-23,15,RH-001,30.95,100.0,30.9
2025-11-23,16,RH-001,23.59,100.0,23.6
2025-11-24,8,RH-001,13.53,100.0,13.5
2025-11-24,9,RH-001,40.51,100.0,40.5
2025-11-24,10,RH-001,29.22,100.0,29.2
2025-11-24,11,RH-001,45.87,100.0,45.9
2025-11-24,12,RH-001,31.19,100.0,31.2
2025-11-24,13,RH-001,78.53,100.0,78.5
2025-11-24,14,RH-001,39.76,100.0,39.8
2025-11-24,15,RH-001,21.01,100.0,21.0
2025-11-24,16,RH-001,13.08,100.0,13.1
2025-11-25,8,RH-001,25.98,100.0,26.0
2025-11-25,9,RH-001,22.79,100.0,22.8
2025-11-25,10,RH-001,23.89,100.0,23.9
2025-11-25,11,RH-001,27.3,100.0,27.3
2025-11-25,12,RH-001,50.63,100.0,50.6
2025-11-25,13,RH-001,30.81,100.0,30.8
2025-11-25,14,RH-001,39.91,100.0,39.9
2025-11-25,15,RH-001,26.98,100.0,27.0
2025-11-25,16,RH-001,20.37,100.0,20.4
2025-11-26,8,RH-001,25.89,100.0,25.9
2025-11-26,9,RH-001,18.79,100.0,18.8
2025-11-26,10,RH-001,39.08,100.0,39.1
2025-11-26,11,RH-001,55.8,100.0,55.8
2025-11-26,12,RH-001,42.09,100.0,42.1
2025-11-26,13,RH-001,26.61,100.0,26.6
2025-11-26,14,RH-001,53.17,100.0,53.2
2025-11-26,15,RH-001,34.11,100.0,34.1
2025-11-26,16,RH-001,14.35,100.0,14.3
2025-11-27,8,RH-001,29.03,100.0,29.0
2025-11-27,9,RH-001,18.14,100.0,18.1
2025-11-27,10,RH-001,65.22,100.0,65.2
2025-11-27,11,RH-001,67.91,100.0,67.9
2025-11-27,12,RH-001,33.34,100.0,33.3
2025-11-27,13,RH-001,67.26,100.0,67.3
2025-11-27,14,RH-001,50.65,100.0,50.6
2025-11-27,15,RH-001,23.29,100.0,23.3
2025-11-27,16,RH-001,18.44,100.0,18.4
2025-11-28,8,RH-001,8.87,100.0,8.9
2025-11-28,9,RH-001,26.51,100.0,26.5
2025-11-28,10,RH-001,35.89,100.0,35.9
2025-11-28,11,RH-001,39.56,100.0,39.6
2025-11-28,12,RH-001,80.6,100.0,80.6
2025-11-28,13,RH-001,44.27,100.0,44.3
2025-11-28,14,RH-001,50.58,100.0,50.6
2025-11-28,15,RH-001,20.88,100.0,20.9
2025-11-28,16,RH-001,19.31,100.0,19.3
2025-11-29,8,RH-001,26.25,100.0,26.2
2025-11-29,9,RH-001,27.45,100.0,27.4
2025-11-29,10,RH-001,25.93,100.0,25.9
2025-11-29,11,RH-001,80.16,100.0,80.2
