po_number,po_date,supplier_id,ordered_by,quantity_liters,market_price_per_liter,actual_price_per_liter,total_cost_mmk,price_vs_market_pct,delivery_location,promised_delivery_date,actual_delivery_date,delivery_delay_days,status,order_type,ai_recommended,notes
PO-2026-0011,2025-10-02,SUP-004,Daw Su Su,135.0,2798,2798,377730,0.0,DC-001,2025-10-03,2025-10-03 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0012,2025-10-02,SUP-003,Ma Yin Mar,120.0,2798,2938,352560,5.0,PO-001,2025-10-05,2025-10-05 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0013,2025-10-02,SUP-004,U Min Htet,100.0,2798,2798,279800,0.0,FR-004,2025-10-03,2025-10-03 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0014,2025-10-03,SUP-004,Ko Zaw Lin,154.0,2870,2870,441980,0.0,PO-002,2025-10-04,2025-10-05 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0015,2025-10-03,SUP-001,U Min Htet,270.0,2870,2927,790290,2.0,RH-004,2025-10-04,2025-10-05 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0016,2025-10-03,SUP-002,Daw Su Su,138.0,2870,2841,392058,-1.0,PM-003,2025-10-05,2025-10-08 00:00:00,3,DELIVERED,SCHEDULED,False,
PO-2026-0017,2025-10-03,SUP-001,Ko Zaw Lin,100.0,2870,2927,292700,2.0,RS-006,2025-10-04,2025-10-04 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0018,2025-10-03,SUP-003,Ma Yin Mar,100.0,2870,3014,301400,5.0,RC-004,2025-10-06,2025-10-06 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0019,2025-10-04,SUP-004,Ma Yin Mar,100.0,2949,2949,294900,0.0,FR-004,2025-10-06,2025-10-06 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0020,2025-10-04,SUP-001,Daw Su Su,100.0,2949,3008,300800,2.0,DC-002,2025-10-05,2025-10-06 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0021,2025-10-04,SUP-001,Ma Yin Mar,100.0,2949,3141,314100,6.5,CENTRAL-DEPOT,2025-10-05,2025-10-05 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0022,2025-10-05,SUP-003,Ko Zaw Lin,100.0,2818,2959,295900,5.0,CENTRAL-DEPOT,2025-10-09,2025-10-11 00:00:00,2,DELIVERED,SCHEDULED,False,
PO-2026-0023,2025-10-05,SUP-003,Daw Su Su,100.0,2818,3057,305700,8.5,RC-005,2025-10-08,2025-10-08 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0024,2025-10-05,SUP-003,Ko Zaw Lin,100.0,2818,3017,301700,7.1,CENTRAL-DEPOT,2025-10-09,2025-10-09 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0025,2025-10-06,SUP-001,U Min Htet,100.0,2827,2884,288400,2.0,FV-005,2025-10-08,2025-10-08 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0026,2025-10-06,SUP-004,U Min Htet,100.0,2827,2827,282700,0.0,FB-001,2025-10-07,2025-10-07 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0027,2025-10-06,SUP-001,Ma Yin Mar,100.0,2827,2884,288400,2.0,RS-003,2025-10-07,2025-10-08 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0028,2025-10-06,SUP-001,Daw Su Su,100.0,2827,2884,288400,2.0,RS-003,2025-10-08,2025-10-09 00:00:00,1,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0029,2025-10-06,SUP-003,U Min Htet,100.0,2827,2968,296800,5.0,CENTRAL-DEPOT,2025-10-10,2025-10-10 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0030,2025-10-06,SUP-003,Daw Su Su,100.0,2827,2968,296800,5.0,CENTRAL-DEPOT,2025-10-09,2025-10-09 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0031,2025-10-07,SUP-003,Daw Su Su,100.0,2981,3130,313000,5.0,FB-002,2025-10-10,2025-10-11 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0032,2025-10-07,SUP-004,Ma Yin Mar,100.0,2981,2981,298100,0.0,CENTRAL-DEPOT,2025-10-08,2025-10-08 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0033,2025-10-07,SUP-001,Daw Su Su,441.0,2981,3041,1341081,2.0,PM-002,2025-10-09,2025-10-09 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0034,2025-10-07,SUP-002,Ko Zaw Lin,155.0,2981,2951,457405,-1.0,CENTRAL-DEPOT,2025-10-09,2025-10-09 00:00:00,0,DELIVERED,BULK_BUY,False,
PO-2026-0035,2025-10-08,SUP-003,Ma Yin Mar,100.0,2924,3070,307000,5.0,CENTRAL-DEPOT,2025-10-12,2025-10-12 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0036,2025-10-08,SUP-001,Daw Su Su,159.0,2924,2982,474138,2.0,CENTRAL-DEPOT,2025-10-09,2025-10-10 00:00:00,1,DELIVERED,BULK_BUY,False,
PO-2026-0037,2025-10-08,SUP-003,U Min Htet,100.0,2924,3070,307000,5.0,DL-002,2025-10-12,2025-10-12 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0038,2025-10-09,SUP-004,Ko Zaw Lin,100.0,2834,2834,283400,0.0,FR-004,2025-10-10,2025-10-10 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0039,2025-10-09,SUP-004,U Min Htet,100.0,2834,2834,283400,0.0,FV-001,2025-10-09,2025-10-09 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0040,2025-10-09,SUP-004,Daw Su Su,100.0,2834,2834,283400,0.0,RC-001,2025-10-09,2025-10-09 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0041,2025-10-09,SUP-004,Ma Yin Mar,109.0,2834,2834,308906,0.0,FR-005,2025-10-09,2025-10-09 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0042,2025-10-09,SUP-003,Daw Su Su,100.0,2834,2976,297600,5.0,CENTRAL-DEPOT,2025-10-13,2025-10-16 00:00:00,3,DELIVERED,SCHEDULED,False,
PO-2026-0043,2025-10-09,SUP-004,Ko Zaw Lin,106.0,2834,2966,314396,4.7,RS-010,2025-10-10,2025-10-10 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0044,2025-10-09,SUP-002,Ma Yin Mar,100.0,2834,2806,280600,-1.0,FR-004,2025-10-11,2025-10-11 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0045,2025-10-09,SUP-001,Ko Zaw Lin,196.0,2834,2891,566636,2.0,CENTRAL-DEPOT,2025-10-10,2025-10-11 00:00:00,1,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0046,2025-10-10,SUP-001,U Min Htet,272.0,2923,2981,810832,2.0,RH-002,2025-10-11,2025-10-11 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0047,2025-10-10,SUP-003,Ko Zaw Lin,100.0,2923,3069,306900,5.0,RC-003,2025-10-14,2025-10-15 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0048,2025-10-10,SUP-002,Ma Yin Mar,123.0,2923,2894,355962,-1.0,PO-002,2025-10-11,2025-10-11 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0049,2025-10-10,SUP-004,Ko Zaw Lin,100.0,2923,2923,292300,0.0,FV-001,2025-10-11,2025-10-11 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0050,2025-10-10,SUP-001,U Min Htet,100.0,2923,2981,298100,2.0,RS-007,2025-10-11,2025-10-11 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0051,2025-10-10,SUP-003,U Min Htet,138.0,2923,3069,423522,5.0,DC-003,2025-10-13,2025-10-14 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0052,2025-10-10,SUP-003,Daw Su Su,118.0,2923,3069,362142,5.0,DW-003,2025-10-13,2025-10-13 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0053,2025-10-10,SUP-002,Ma Yin Mar,100.0,2923,2894,289400,-1.0,RC-002,2025-10-13,2025-10-13 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0054,2025-10-11,SUP-004,Ko Zaw Lin,244.0,2850,2850,695400,0.0,CENTRAL-DEPOT,2025-10-12,2025-10-12 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0055,2025-10-11,SUP-003,U Min Htet,100.0,2850,2992,299200,5.0,CENTRAL-DEPOT,2025-10-14,2025-10-14 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0056,2025-10-11,SUP-001,Ko Zaw Lin,100.0,2850,2907,290700,2.0,FV-002,2025-10-13,2025-10-13 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0057,2025-10-11,SUP-004,Ma Yin Mar,100.0,2850,2850,285000,0.0,CENTRAL-DEPOT,2025-10-13,2025-10-13 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0058,2025-10-11,SUP-004,Ko Zaw Lin,100.0,2850,2850,285000,0.0,RC-002,2025-10-12,2025-10-12 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0059,2025-10-12,SUP-001,Daw Su Su,100.0,2857,2914,291400,2.0,FB-005,2025-10-14,2025-10-15 00:00:00,1,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0060,2025-10-12,SUP-002,Daw Su Su,100.0,2857,2828,282800,-1.0,RC-009,2025-10-13,2025-10-13 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0061,2025-10-12,SUP-001,Daw Su Su,100.0,2857,2914,291400,2.0,RC-008,2025-10-14,2025-10-14 00:00:00,0,DELIVERED,BULK_BUY,False,
PO-2026-0062,2025-10-13,SUP-004,Ko Zaw Lin,100.0,2921,2921,292100,0.0,CENTRAL-DEPOT,2025-10-14,2025-10-14 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0063,2025-10-13,SUP-003,U Min Htet,100.0,2921,3188,318800,9.1,RC-002,2025-10-17,2025-10-17 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0064,2025-10-13,SUP-002,Ko Zaw Lin,291.0,2921,3034,882894,3.9,RH-003,2025-10-15,2025-10-17 00:00:00,2,DELIVERED,EMERGENCY,False,
PO-2026-0065,2025-10-13,SUP-002,Ko Zaw Lin,100.0,2921,2892,289200,-1.0,CENTRAL-DEPOT,2025-10-16,2025-10-16 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0066,2025-10-13,SUP-001,Ma Yin Mar,100.0,2921,2979,297900,2.0,RS-006,2025-10-14,2025-10-17 00:00:00,3,DELIVERED,SCHEDULED,False,
PO-2026-0067,2025-10-13,SUP-003,Daw Su Su,100.0,2921,3067,306700,5.0,FB-004,2025-10-17,2025-10-20 00:00:00,3,DELIVERED,BULK_BUY,False,
PO-2026-0068,2025-10-13,SUP-004,U Min Htet,100.0,2921,2921,292100,0.0,FV-005,2025-10-13,2025-10-13 00:00:00,0,DELIVERED,BULK_BUY,False,
PO-2026-0069,2025-10-14,SUP-004,U Min Htet,100.0,2755,2755,275500,0.0,CENTRAL-DEPOT,2025-10-15,2025-10-15 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0070,2025-10-14,SUP-002,Ma Yin Mar,270.0,2755,2727,736290,-1.0,CENTRAL-DEPOT,2025-10-17,2025-10-17 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0071,2025-10-14,SUP-003,Daw Su Su,100.0,2755,2893,289300,5.0,FB-002,2025-10-18,2025-10-19 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0072,2025-10-15,SUP-003,Ko Zaw Lin,129.0,2776,2915,376035,5.0,CENTRAL-DEPOT,2025-10-18,2025-10-18 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0073,2025-10-15,SUP-004,Ko Zaw Lin,100.0,2776,2776,277600,0.0,RC-008,2025-10-15,2025-10-15 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0074,2025-10-15,SUP-003,Daw Su Su,100.0,2776,2915,291500,5.0,FB-005,2025-10-19,2025-10-19 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0075,2025-10-15,SUP-002,Ko Zaw Lin,100.0,2776,2748,274800,-1.0,CENTRAL-DEPOT,2025-10-17,2025-10-17 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0076,2025-10-15,SUP-003,Ko Zaw Lin,108.0,2776,3005,324540,8.2,CENTRAL-DEPOT,2025-10-19,2025-10-19 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0077,2025-10-15,SUP-001,Ma Yin Mar,172.0,2776,2832,487104,2.0,CENTRAL-DEPOT,2025-10-16,2025-10-18 00:00:00,2,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0078,2025-10-15,SUP-004,Ko Zaw Lin,100.0,2776,2776,277600,0.0,RS-010,2025-10-16,2025-10-16 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0079,2025-10-16,SUP-004,Ko Zaw Lin,255.0,2875,2875,733125,0.0,CENTRAL-DEPOT,2025-10-17,2025-10-20 00:00:00,3,DELIVERED,SCHEDULED,False,
PO-2026-0080,2025-10-16,SUP-001,Daw Su Su,100.0,2875,3058,305800,6.4,CENTRAL-DEPOT,2025-10-17,2025-10-17 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0081,2025-10-16,SUP-002,Ko Zaw Lin,207.0,2875,2920,604440,1.6,DC-002,2025-10-18,2025-10-18 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0082,2025-10-17,SUP-001,U Min Htet,100.0,2845,2902,290200,2.0,RS-008,2025-10-19,2025-10-19 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0083,2025-10-17,SUP-003,U Min Htet,100.0,2845,3073,307300,8.0,RC-001,2025-10-20,2025-10-20 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0084,2025-10-17,SUP-002,Ko Zaw Lin,102.0,2845,2817,287334,-1.0,RS-006,2025-10-19,2025-10-19 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0085,2025-10-17,SUP-004,U Min Htet,100.0,2845,2845,284500,0.0,CENTRAL-DEPOT,2025-10-19,2025-10-20 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0086,2025-10-17,SUP-002,Daw Su Su,180.0,2845,2879,518220,1.2,RH-005,2025-10-19,2025-10-20 00:00:00,1,DELIVERED,EMERGENCY,False,
PO-2026-0087,2025-10-18,SUP-002,Ma Yin Mar,100.0,2956,2926,292600,-1.0,CENTRAL-DEPOT,2025-10-19,2025-10-22 00:00:00,3,DELIVERED,SCHEDULED,False,
PO-2026-0088,2025-10-18,SUP-001,Daw Su Su,100.0,2956,3015,301500,2.0,RC-009,2025-10-20,2025-10-21 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0089,2025-10-18,SUP-003,Ko Zaw Lin,100.0,2956,3104,310400,5.0,CENTRAL-DEPOT,2025-10-22,2025-10-22 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0090,2025-10-18,SUP-002,Daw Su Su,100.0,2956,2926,292600,-1.0,CENTRAL-DEPOT,2025-10-21,2025-10-22 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0091,2025-10-18,SUP-003,Ko Zaw Lin,100.0,2956,3104,310400,5.0,FB-005,2025-10-22,2025-10-22 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0092,2025-10-18,SUP-001,Ko Zaw Lin,100.0,2956,3015,301500,2.0,CENTRAL-DEPOT,2025-10-20,2025-10-20 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0093,2025-10-18,SUP-003,Daw Su Su,100.0,2956,3104,310400,5.0,RC-006,2025-10-21,2025-10-23 00:00:00,2,DELIVERED,SCHEDULED,False,
PO-2026-0094,2025-10-18,SUP-004,Ko Zaw Lin,100.0,2956,2956,295600,0.0,FB-003,2025-10-18,2025-10-19 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0095,2025-10-19,SUP-002,Ko Zaw Lin,152.0,2863,2834,430768,-1.0,PM-003,2025-10-21,2025-10-21 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0096,2025-10-19,SUP-001,U Min Htet,100.0,2863,2920,292000,2.0,FB-004,2025-10-21,2025-10-23 00:00:00,2,DELIVERED,SCHEDULED,False,
PO-2026-0097,2025-10-19,SUP-003,Daw Su Su,100.0,2863,3090,309000,7.9,FR-005,2025-10-23,2025-10-23 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0098,2025-10-19,SUP-004,Ko Zaw Lin,100.0,2863,2863,286300,0.0,CENTRAL-DEPOT,2025-10-20,2025-10-20 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0099,2025-10-19,SUP-001,Ko Zaw Lin,100.0,2863,2920,292000,2.0,RC-003,2025-10-21,2025-10-21 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0100,2025-10-19,SUP-004,Daw Su Su,176.0,2863,2863,503888,0.0,DW-003,2025-10-19,2025-10-19 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0101,2025-10-20,SUP-004,Daw Su Su,100.0,2827,2967,296700,5.0,RC-003,2025-10-20,2025-10-20 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0102,2025-10-20,SUP-004,Ko Zaw Lin,118.0,2827,2827,333586,0.0,PO-002,2025-10-22,2025-10-22 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0103,2025-10-20,SUP-002,U Min Htet,100.0,2827,2799,279900,-1.0,CENTRAL-DEPOT,2025-10-22,2025-10-22 00:00:00,0,DELIVERED,BULK_BUY,False,
PO-2026-0104,2025-10-21,SUP-002,Daw Su Su,100.0,3061,3030,303000,-1.0,FR-002,2025-10-23,2025-10-23 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0105,2025-10-21,SUP-002,U Min Htet,151.0,3061,3030,457530,-1.0,CENTRAL-DEPOT,2025-10-23,2025-10-23 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0106,2025-10-21,SUP-004,Daw Su Su,432.0,3061,3061,1322352,0.0,CENTRAL-DEPOT,2025-10-21,2025-10-22 00:00:00,1,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0107,2025-10-22,SUP-003,Ko Zaw Lin,100.0,2928,3074,307400,5.0,RC-005,2025-10-25,2025-10-26 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0108,2025-10-22,SUP-002,Daw Su Su,101.0,2928,2899,292799,-1.0,CENTRAL-DEPOT,2025-10-23,2025-10-23 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0109,2025-10-22,SUP-002,U Min Htet,207.0,2928,2899,600093,-1.0,RH-002,2025-10-23,2025-10-23 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0110,2025-10-22,SUP-001,Ko Zaw Lin,174.0,2928,2987,519738,2.0,DW-002,2025-10-23,2025-10-23 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0111,2025-10-23,SUP-001,Ko Zaw Lin,100.0,2955,3014,301400,2.0,RS-007,2025-10-25,2025-10-25 00:00:00,0,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0112,2025-10-23,SUP-001,Ma Yin Mar,203.0,2955,3014,611842,2.0,CENTRAL-DEPOT,2025-10-24,2025-10-24 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0113,2025-10-23,SUP-002,U Min Htet,100.0,2955,3000,300000,1.5,FR-005,2025-10-26,2025-10-27 00:00:00,1,DELIVERED,EMERGENCY,False,
PO-2026-0114,2025-10-23,SUP-002,Ma Yin Mar,100.0,2955,3060,306000,3.6,CENTRAL-DEPOT,2025-10-25,2025-10-26 00:00:00,1,DELIVERED,EMERGENCY,False,
PO-2026-0115,2025-10-23,SUP-003,Ko Zaw Lin,100.0,2955,3103,310300,5.0,CENTRAL-DEPOT,2025-10-27,2025-10-28 00:00:00,1,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0116,2025-10-24,SUP-001,U Min Htet,100.0,2837,2894,289400,2.0,RC-009,2025-10-25,2025-10-25 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0117,2025-10-24,SUP-003,Ko Zaw Lin,100.0,2837,2979,297900,5.0,RC-006,2025-10-28,2025-10-28 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0118,2025-10-24,SUP-001,Ma Yin Mar,100.0,2837,2894,289400,2.0,RC-002,2025-10-25,2025-10-26 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0119,2025-10-24,SUP-004,U Min Htet,100.0,2837,2837,283700,0.0,FR-001,2025-10-25,2025-10-25 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0120,2025-10-25,SUP-003,Ko Zaw Lin,100.0,2909,3186,318600,9.5,RS-009,2025-10-28,2025-10-30 00:00:00,2,DELIVERED,EMERGENCY,False,
PO-2026-0121,2025-10-25,SUP-001,Ma Yin Mar,100.0,2909,2967,296700,2.0,RC-003,2025-10-26,2025-10-26 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0122,2025-10-25,SUP-003,Ma Yin Mar,100.0,2909,3153,315300,8.4,CENTRAL-DEPOT,2025-10-29,2025-10-29 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0123,2025-10-25,SUP-001,Daw Su Su,100.0,2909,2967,296700,2.0,FB-001,2025-10-26,2025-10-26 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0124,2025-10-26,SUP-001,Ko Zaw Lin,100.0,2963,3022,302200,2.0,RC-007,2025-10-28,2025-10-28 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0125,2025-10-26,SUP-003,Ma Yin Mar,100.0,2963,3111,311100,5.0,CENTRAL-DEPOT,2025-10-30,2025-10-30 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0126,2025-10-26,SUP-001,Ma Yin Mar,100.0,2963,3165,316500,6.8,PO-003,2025-10-28,2025-10-28 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0127,2025-10-26,SUP-002,U Min Htet,100.0,2963,2933,293300,-1.0,PO-002,2025-10-27,2025-10-27 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0128,2025-10-26,SUP-004,Daw Su Su,160.0,2963,2963,474080,0.0,CENTRAL-DEPOT,2025-10-27,2025-10-28 00:00:00,1,DELIVERED,BULK_BUY,True,AI recommended bulk buy
PO-2026-0129,2025-10-26,SUP-002,Ko Zaw Lin,100.0,2963,2933,293300,-1.0,RS-005,2025-10-27,2025-10-28 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0130,2025-10-26,SUP-003,U Min Htet,100.0,2963,3111,311100,5.0,CENTRAL-DEPOT,2025-10-30,2025-10-31 00:00:00,1,DELIVERED,SCHEDULED,False,
PO-2026-0131,2025-10-27,SUP-001,Ko Zaw Lin,100.0,2863,2920,292000,2.0,FV-004,2025-10-28,2025-10-28 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0132,2025-10-27,SUP-001,U Min Htet,100.0,2863,2920,292000,2.0,PO-003,2025-10-29,2025-10-29 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0133,2025-10-27,SUP-003,Ko Zaw Lin,175.0,2863,3080,539000,7.6,CENTRAL-DEPOT,2025-10-31,2025-10-31 00:00:00,0,DELIVERED,EMERGENCY,False,
PO-2026-0134,2025-10-27,SUP-002,Ma Yin Mar,105.0,2863,2834,297570,-1.0,CENTRAL-DEPOT,2025-10-30,2025-10-30 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0135,2025-10-27,SUP-003,Daw Su Su,100.0,2863,3006,300600,5.0,FV-005,2025-10-30,2025-10-30 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0136,2025-10-27,SUP-001,U Min Htet,100.0,2863,2920,292000,2.0,FR-005,2025-10-28,2025-10-30 00:00:00,2,DELIVERED,SCHEDULED,False,
PO-2026-0137,2025-10-28,SUP-002,Ko Zaw Lin,100.0,2985,2955,295500,-1.0,RC-009,2025-10-30,2025-10-30 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0138,2025-10-28,SUP-002,Ko Zaw Lin,140.0,2985,2955,413700,-1.0,CENTRAL-DEPOT,2025-10-31,2025-11-02 00:00:00,2,DELIVERED,SCHEDULED,False,
PO-2026-0139,2025-10-28,SUP-004,Daw Su Su,100.0,2985,2985,298500,0.0,CENTRAL-DEPOT,2025-10-28,2025-10-28 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0140,2025-10-28,SUP-002,Daw Su Su,279.0,2985,2955,824445,-1.0,RH-003,2025-10-31,2025-10-31 00:00:00,0,DELIVERED,SCHEDULED,False,
PO-2026-0141,2025-10-28,SUP-001,Ma Yin Mar,100.0,2985,3188,318800,6.8,DW-001,2025-10-30,2025-10-30 00:00:00,0,DELIVERED,EMERGENCY,False,
