date,store_id,diesel_stock_liters,diesel_purchased_liters,tank_capacity_liters,supplier_lead_time_days,days_of_coverage
2025-11-07,RH-001,227.4,0.0,500,1.3,10.9
2025-11-08,RH-001,194.4,0.0,500,2.2,5.9
2025-11-09,RH-001,154.8,0.0,500,1.6,3.9
2025-11-10,RH-001,110.0,0.0,500,2.6,2.5
2025-11-11,RH-001,445.6,360.7,500,2.6,17.8
2025-11-12,RH-001,401.0,0.0,500,2.3,9.0
2025-11-13,RH-001,354.5,0.0,500,2.3,7.6
2025-11-14,RH-001,313.2,0.0,500,2.7,7.6
2025-11-15,RH-001,500.0,365.2,500,2.4,11.3
2025-11-16,RH-001,447.0,0.0,500,2.0,8.4
2025-11-17,RH-001,401.7,0.0,500,1.7,8.9
2025-11-18,RH-001,367.3,0.0,500,2.6,10.7
2025-11-19,RH-001,500.0,286.2,500,1.5,16.7
2025-11-20,RH-001,446.6,0.0,500,1.8,8.4
2025-11-21,RH-001,401.4,0.0,500,1.9,8.9
2025-11-22,RH-001,348.7,0.0,500,2.3,6.6
2025-11-23,RH-001,318.4,0.0,500,1.7,10.5
2025-11-24,RH-001,287.3,0.0,500,1.2,9.3
2025-11-25,RH-001,257.6,0.0,500,2.5,8.7
2025-11-26,RH-001,229.4,0.0,500,2.3,8.1
2025-11-27,RH-001,175.9,0.0,500,2.3,3.3
2025-11-28,RH-001,123.1,0.0,500,1.6,2.3
2025-11-29,RH-001,274.4,206.2,500,1.9,5.0
2025-11-30,RH-001,500.0,307.5,500,2.3,24.8
2025-12-01,RH-001,456.8,0.0,500,2.2,10.6
2025-12-02,RH-001,427.4,0.0,500,2.5,14.5
2025-12-03,RH-001,500.0,237.7,500,1.3,9.8
2025-12-04,RH-001,463.9,0.0,500,2.8,12.9
2025-12-05,RH-001,445.1,0.0,500,1.7,23.6
2025-12-06,RH-001,424.0,0.0,500,2.5,20.1
2025-12-07,RH-001,399.0,0.0,500,2.6,15.9
2025-12-08,RH-001,370.4,0.0,500,2.2,13.0
2025-12-09,RH-001,328.3,0.0,500,3.2,7.8
2025-12-10,RH-001,500.0,337.8,500,2.0,23.3
2025-12-11,RH-001,465.7,0.0,500,2.2,13.6
2025-12-12,RH-001,500.0,273.8,500,2.9,14.8
2025-12-13,RH-001,478.7,0.0,500,2.5,22.5
2025-12-14,RH-001,437.2,0.0,500,3.0,10.5
2025-12-15,RH-001,500.0,266.7,500,1.9,11.8
2025-12-16,RH-001,470.3,0.0,500,2.3,15.9
2025-12-17,RH-001,435.3,0.0,500,3.2,12.4
2025-12-18,RH-001,500.0,298.3,500,1.5,16.5
2025-12-19,RH-001,461.7,0.0,500,2.4,12.0
2025-12-20,RH-001,413.4,0.0,500,2.2,8.6
2025-12-21,RH-001,375.5,0.0,500,1.5,9.9
2025-12-22,RH-001,353.0,0.0,500,2.1,15.7
2025-12-23,RH-001,321.6,0.0,500,3.0,10.2
2025-12-24,RH-001,500.0,394.6,500,2.8,24.7
2025-12-25,RH-001,477.1,0.0,500,2.1,20.8
2025-12-26,RH-001,443.8,0.0,500,2.4,13.4
2025-12-27,RH-001,402.0,0.0,500,1.8,9.6
2025-12-28,RH-001,355.2,0.0,500,1.6,7.6
2025-12-29,RH-001,306.8,0.0,500,1.5,6.3
2025-12-30,RH-001,250.9,0.0,500,2.5,4.5
2025-12-31,RH-001,207.9,0.0,500,2.7,4.8
2026-01-01,RH-001,181.3,0.0,500,2.6,6.8
2026-01-02,RH-001,487.9,331.8,500,3.2,19.4
2026-01-03,RH-001,455.6,0.0,500,3.1,14.1
2026-01-04,RH-001,436.7,0.0,500,3.0,23.0
2026-01-05,RH-001,500.0,241.6,500,1.8,11.6
2026-01-06,RH-001,480.4,0.0,500,2.1,24.5
2026-01-07,RH-001,434.8,0.0,500,2.9,9.6
2026-01-08,RH-001,500.0,302.4,500,3.1,19.3
2026-01-09,RH-001,500.0,217.0,500,2.8,17.4
2026-01-10,RH-001,445.2,0.0,500,2.6,8.1
2026-01-11,RH-001,417.4,0.0,500,2.1,15.0
2026-01-12,RH-001,378.3,0.0,500,3.5,9.7
2026-01-13,RH-001,346.1,0.0,500,1.9,10.7
2026-01-14,RH-001,325.2,0.0,500,2.2,15.6
2026-01-15,RH-001,295.8,0.0,500,1.7,10.1
2026-01-16,RH-001,250.2,0.0,500,1.9,5.5
2026-01-17,RH-001,429.6,231.0,500,2.3,8.3
2026-01-18,RH-001,375.9,0.0,500,2.4,7.0
2026-01-19,RH-001,500.0,258.2,500,2.5,11.6
2026-01-20,RH-001,460.0,0.0,500,2.0,11.5
2026-01-21,RH-001,440.9,0.0,500,3.4,23.2
2026-01-22,RH-001,419.9,0.0,500,3.3,20.0
2026-01-23,RH-001,394.7,0.0,500,3.3,15.6
2026-01-24,RH-001,341.9,0.0,500,3.3,6.5
2026-01-25,RH-001,297.3,0.0,500,2.1,6.7
2026-01-26,RH-001,259.1,0.0,500,3.8,6.8
2026-01-27,RH-001,240.2,0.0,500,3.7,12.7
2026-01-28,RH-001,210.0,0.0,500,3.7,6.9
2026-01-29,RH-001,182.1,0.0,500,3.1,6.5
2026-01-30,RH-001,148.0,0.0,500,3.7,4.3
2026-01-31,RH-001,374.5,273.6,500,3.5,8.0
2026-02-01,RH-001,350.8,0.0,500,3.2,14.8
2026-02-02,RH-001,309.4,0.0,500,2.7,7.5
2026-02-03,RH-001,286.8,0.0,500,3.7,12.7
2026-02-04,RH-001,249.9,0.0,500,2.9,6.8
2026-02-05,RH-001,229.2,0.0,500,2.5,11.0
2026-02-06,RH-001,206.6,0.0,500,3.7,9.2
2026-02-07,RH-001,157.4,0.0,500,3.5,3.2
2026-02-08,RH-001,119.3,0.0,500,3.7,3.1
2026-02-09,RH-001,451.5,386.5,500,2.0,8.3
2026-02-10,RH-001,500.0,259.0,500,4.0,12.1
2026-02-11,RH-001,470.3,0.0,500,3.2,15.9
2026-02-12,RH-001,443.2,0.0,500,3.8,16.3
2026-02-13,RH-001,500.0,273.7,500,2.3,14.2
2026-02-14,RH-001,448.1,0.0,500,3.5,8.6
2026-02-15,RH-001,411.6,0.0,500,2.6,11.3
2026-02-16,RH-001,385.6,0.0,500,3.9,14.8
2026-02-17,RH-001,341.9,0.0,500,3.9,7.8
2026-02-18,RH-001,500.0,294.0,500,2.7,14.1
2026-02-19,RH-001,500.0,347.5,500,3.9,13.1
2026-02-20,RH-001,455.7,0.0,500,2.3,10.3
2026-02-21,RH-001,411.8,0.0,500,3.1,9.4
2026-02-22,RH-001,500.0,270.0,500,2.4,22.5
2026-02-23,RH-001,456.0,0.0,500,4.1,10.4
2026-02-24,RH-001,427.6,0.0,500,3.0,15.1
2026-02-25,RH-001,405.7,0.0,500,3.3,18.5
2026-02-26,RH-001,364.8,0.0,500,3.0,8.9
2026-02-27,RH-001,326.1,0.0,500,3.9,8.4
2026-02-28,RH-001,500.0,280.6,500,3.6,20.2
2026-03-01,RH-001,466.1,0.0,500,3.9,13.7
2026-03-02,RH-001,435.4,0.0,500,3.5,14.2
2026-03-03,RH-001,500.0,393.1,500,3.9,9.3
2026-03-04,RH-001,444.3,0.0,500,2.9,8.0
2026-03-05,RH-001,400.3,0.0,500,3.9,9.1
2026-03-06,RH-001,500.0,240.7,500,3.0,12.0
2026-03-07,RH-001,448.5,0.0,500,2.4,8.7
2026-03-08,RH-001,410.7,0.0,500,4.2,10.9
2026-03-09,RH-001,359.2,0.0,500,3.2,7.0
2026-03-10,RH-001,305.8,0.0,500,2.5,5.7
2026-03-11,RH-001,264.5,0.0,500,2.5,6.4
2026-03-12,RH-001,453.9,230.0,500,3.9,11.2
2026-03-13,RH-001,421.7,0.0,500,2.6,13.1
2026-03-14,RH-001,391.2,0.0,500,2.8,12.8
2026-03-15,RH-001,336.6,0.0,500,3.9,6.2
2026-03-16,RH-001,317.0,0.0,500,3.8,16.2
2026-03-17,RH-001,276.0,0.0,500,3.8,6.7
2026-03-18,RH-001,256.2,0.0,500,3.3,13.0
2026-03-19,RH-001,214.6,0.0,500,2.8,5.2
2026-03-20,RH-001,166.8,0.0,500,3.8,3.5
2026-03-21,RH-001,461.0,323.7,500,3.4,15.6
2026-03-22,RH-001,423.7,0.0,500,2.7,11.4
2026-03-23,RH-001,380.2,0.0,500,3.0,8.7
2026-03-24,RH-001,500.0,276.8,500,3.6,25.0
2026-03-25,RH-001,467.7,0.0,500,2.5,14.5
2026-03-26,RH-001,433.8,0.0,500,3.0,12.8
2026-03-27,RH-001,413.0,0.0,500,2.8,19.9
2026-03-28,RH-001,379.7,0.0,500,2.6,11.4
2026-03-29,RH-001,338.7,0.0,500,3.0,8.2
2025-10-01,RH-002,500.0,258.4,500,1.3,20.1
2025-10-02,RH-002,465.8,0.0,500,1.5,13.6
2025-10-03,RH-002,425.1,0.0,500,1.0,10.5
2025-10-04,RH-002,500.0,381.5,500,0.8,9.1
2025-10-05,RH-002,453.8,0.0,500,0.9,9.8
2025-10-06,RH-002,433.9,0.0,500,1.8,21.8
2025-10-07,RH-002,500.0,262.2,500,2.2,10.3
2025-10-08,RH-002,464.7,0.0,500,1.7,13.2
2025-10-09,RH-002,439.8,0.0,500,1.2,17.7
2025-10-10,RH-002,418.8,0.0,500,1.6,19.9
2025-10-11,RH-002,391.2,0.0,500,2.5,14.2
2025-10-12,RH-002,341.4,0.0,500,2.5,6.9
2025-10-13,RH-002,500.0,343.3,500,1.8,9.0
2025-10-14,RH-002,454.2,0.0,500,2.0,9.9
2025-10-15,RH-002,422.2,0.0,500,2.5,13.2
2025-10-16,RH-002,382.4,0.0,500,1.3,9.6
2025-10-17,RH-002,500.0,376.6,500,2.1,10.3
2025-10-18,RH-002,457.4,0.0,500,1.2,10.7
2025-10-19,RH-002,414.4,0.0,500,1.1,9.7
2025-10-20,RH-002,374.3,0.0,500,2.1,9.3
2025-10-21,RH-002,318.7,0.0,500,1.2,5.7
2025-10-22,RH-002,288.4,0.0,500,2.3,9.5
2025-10-23,RH-002,260.7,0.0,500,1.5,9.4
2025-10-24,RH-002,232.7,0.0,500,2.0,8.3
2025-10-25,RH-002,500.0,297.7,500,2.3,23.1
2025-10-26,RH-002,500.0,388.6,500,1.6,19.3
2025-10-27,RH-002,458.2,0.0,500,2.3,11.0
2025-10-28,RH-002,418.3,0.0,500,1.8,10.5
2025-10-29,RH-002,367.7,0.0,500,1.0,7.3
2025-10-30,RH-002,326.2,0.0,500,1.7,7.9
2025-10-31,RH-002,295.3,0.0,500,2.6,9.5
2025-11-01,RH-002,245.5,0.0,500,2.2,4.9
2025-11-02,RH-002,500.0,312.1,500,1.6,13.9
2025-11-03,RH-002,474.8,0.0,500,2.4,18.9
2025-11-04,RH-002,452.7,0.0,500,2.7,20.5
2025-11-05,RH-002,500.0,207.0,500,1.7,20.1
2025-11-06,RH-002,500.0,343.6,500,2.7,12.1
2025-11-07,RH-002,478.1,0.0,500,1.0,21.9
2025-11-08,RH-002,436.2,0.0,500,2.9,10.4
2025-11-09,RH-002,414.9,0.0,500,2.2,19.5
2025-11-10,RH-002,385.5,0.0,500,1.8,13.1
2025-11-11,RH-002,337.7,0.0,500,2.0,7.1
2025-11-12,RH-002,500.0,373.1,500,1.7,13.5
2025-11-13,RH-002,464.4,0.0,500,1.6,13.0
2025-11-14,RH-002,417.8,0.0,500,2.7,9.0
2025-11-15,RH-002,379.1,0.0,500,1.4,9.8
2025-11-16,RH-002,354.2,0.0,500,2.6,14.2
2025-11-17,RH-002,334.8,0.0,500,1.4,17.3
2025-11-18,RH-002,482.0,202.6,500,1.8,8.7
2025-11-19,RH-002,500.0,383.5,500,2.2,16.5
2025-11-20,RH-002,456.8,0.0,500,2.7,10.6
2025-11-21,RH-002,500.0,261.7,500,2.0,9.6
2025-11-22,RH-002,453.8,0.0,500,2.5,9.8
2025-11-23,RH-002,415.6,0.0,500,2.4,10.9
2025-11-24,RH-002,377.6,0.0,500,2.4,9.9
2025-11-25,RH-002,335.3,0.0,500,3.0,7.9
2025-11-26,RH-002,301.9,0.0,500,1.2,9.1
2025-11-27,RH-002,259.1,0.0,500,1.8,6.1
2025-11-28,RH-002,237.5,0.0,500,3.1,11.0
2025-11-29,RH-002,218.8,0.0,500,2.6,11.7
2025-11-30,RH-002,475.5,306.1,500,2.1,9.6
2025-12-01,RH-002,424.9,0.0,500,1.3,8.4
2025-12-02,RH-002,388.8,0.0,500,2.5,10.7
2025-12-03,RH-002,333.4,0.0,500,1.9,6.0
2025-12-04,RH-002,305.0,0.0,500,1.7,10.8
2025-12-05,RH-002,275.6,0.0,500,1.5,9.4
2025-12-06,RH-002,500.0,359.8,500,1.8,23.9
2025-12-07,RH-002,457.3,0.0,500,2.7,10.7
2025-12-08,RH-002,500.0,332.2,500,2.9,9.8
2025-12-09,RH-002,455.0,0.0,500,2.5,10.1
2025-12-10,RH-002,399.8,0.0,500,3.1,7.2
2025-12-11,RH-002,360.1,0.0,500,2.6,9.1
2025-12-12,RH-002,500.0,280.0,500,1.8,10.9
2025-12-13,RH-002,444.6,0.0,500,2.3,8.0
2025-12-14,RH-002,390.3,0.0,500,3.0,7.2
2025-12-15,RH-002,345.3,0.0,500,2.5,7.7
2025-12-16,RH-002,303.5,0.0,500,2.1,7.3
2025-12-17,RH-002,249.6,0.0,500,2.5,4.6
2025-12-18,RH-002,469.9,272.7,500,2.6,9.0
2025-12-19,RH-002,450.3,0.0,500,2.6,23.0
2025-12-20,RH-002,420.5,0.0,500,2.2,14.1
2025-12-21,RH-002,377.2,0.0,500,2.8,8.7
2025-12-22,RH-002,345.1,0.0,500,1.8,10.7
2025-12-23,RH-002,303.8,0.0,500,2.0,7.4
2025-12-24,RH-002,500.0,323.1,500,2.2,13.3
2025-12-25,RH-002,476.4,0.0,500,2.6,20.2
2025-12-26,RH-002,457.2,0.0,500,2.0,23.7
2025-12-27,RH-002,431.2,0.0,500,2.9,16.6
2025-12-28,RH-002,378.2,0.0,500,2.8,7.1
2025-12-29,RH-002,329.5,0.0,500,3.0,6.8
2025-12-30,RH-002,500.0,361.6,500,3.3,14.1
2025-12-31,RH-002,459.9,0.0,500,2.6,11.5
2026-01-01,RH-002,415.5,0.0,500,2.5,9.4
2026-01-02,RH-002,370.6,0.0,500,1.9,8.2
2026-01-03,RH-002,341.9,0.0,500,2.3,11.9
2026-01-04,RH-002,299.1,0.0,500,3.2,7.0
2026-01-05,RH-002,500.0,346.7,500,2.2,12.9
2026-01-06,RH-002,471.5,0.0,500,3.5,16.5
2026-01-07,RH-002,500.0,200.5,500,3.5,10.4
2026-01-08,RH-002,465.1,0.0,500,2.8,13.3
2026-01-09,RH-002,429.5,0.0,500,1.9,12.1
2026-01-10,RH-002,398.2,0.0,500,1.7,12.7
2026-01-11,RH-002,377.9,0.0,500,2.5,18.6
2026-01-12,RH-002,347.5,0.0,500,1.8,11.4
2026-01-13,RH-002,327.0,0.0,500,2.8,16.0
2026-01-14,RH-002,500.0,298.8,500,1.8,10.3
2026-01-15,RH-002,477.3,0.0,500,2.1,21.0
2026-01-16,RH-002,441.5,0.0,500,3.3,12.3
2026-01-17,RH-002,418.6,0.0,500,2.1,18.3
2026-01-18,RH-002,371.6,0.0,500,2.4,7.9
2026-01-19,RH-002,330.9,0.0,500,3.0,8.1
2026-01-20,RH-002,289.5,0.0,500,2.8,7.0
2026-01-21,RH-002,500.0,369.2,500,1.8,12.3
2026-01-22,RH-002,468.8,0.0,500,1.8,15.0
2026-01-23,RH-002,500.0,327.6,500,3.2,20.6
2026-01-24,RH-002,474.3,0.0,500,2.4,18.4
2026-01-25,RH-002,439.6,0.0,500,3.5,12.7
2026-01-26,RH-002,385.1,0.0,500,3.7,7.1
2026-01-27,RH-002,365.4,0.0,500,2.9,18.6
2026-01-28,RH-002,342.5,0.0,500,2.5,14.9
2026-01-29,RH-002,500.0,396.6,500,2.1,9.0
2026-01-30,RH-002,465.8,0.0,500,3.3,13.6
2026-01-31,RH-002,425.7,0.0,500,2.2,10.6
2026-02-01,RH-002,500.0,207.0,500,3.6,23.9
2026-02-02,RH-002,469.5,0.0,500,2.8,15.4
2026-02-03,RH-002,418.9,0.0,500,2.6,8.3
2026-02-04,RH-002,500.0,328.6,500,2.4,17.0
2026-02-05,RH-002,461.8,0.0,500,3.0,12.1
2026-02-06,RH-002,429.0,0.0,500,3.6,13.1
2026-02-07,RH-002,394.4,0.0,500,3.3,11.4
2026-02-08,RH-002,366.9,0.0,500,3.8,13.4
2026-02-09,RH-002,347.4,0.0,500,3.7,17.8
2026-02-10,RH-002,500.0,290.9,500,3.5,15.1
2026-02-11,RH-002,445.2,0.0,500,3.3,8.1
2026-02-12,RH-002,391.9,0.0,500,2.8,7.4
2026-02-13,RH-002,500.0,299.1,500,3.9,10.9
2026-02-14,RH-002,500.0,250.4,500,2.4,25.5
2026-02-15,RH-002,472.5,0.0,500,2.5,17.2
2026-02-16,RH-002,451.5,0.0,500,3.9,21.5
2026-02-17,RH-002,431.7,0.0,500,2.5,21.8
2026-02-18,RH-002,500.0,395.7,500,3.4,13.9
2026-02-19,RH-002,447.6,0.0,500,3.2,8.5
2026-02-20,RH-002,395.3,0.0,500,2.3,7.6
2026-02-21,RH-002,365.1,0.0,500,3.4,12.1
2026-02-22,RH-002,500.0,300.5,500,3.2,16.9
2026-02-23,RH-002,454.1,0.0,500,2.5,9.9
2026-02-24,RH-002,407.3,0.0,500,3.8,8.7
2026-02-25,RH-002,384.8,0.0,500,2.6,17.1
2026-02-26,RH-002,341.6,0.0,500,3.9,7.9
2026-02-27,RH-002,304.6,0.0,500,4.0,8.2
2026-02-28,RH-002,500.0,247.8,500,2.4,17.6
2026-03-01,RH-002,479.1,0.0,500,2.4,22.9
2026-03-02,RH-002,445.0,0.0,500,2.7,13.0
2026-03-03,RH-002,412.5,0.0,500,3.2,12.7
2026-03-04,RH-002,364.6,0.0,500,3.1,7.6
2026-03-05,RH-002,338.5,0.0,500,3.8,13.0
2026-03-06,RH-002,500.0,336.0,500,3.2,24.8
2026-03-07,RH-002,459.0,0.0,500,3.0,11.2
2026-03-08,RH-002,405.2,0.0,500,3.2,7.5
2026-03-09,RH-002,500.0,366.5,500,2.3,11.1
2026-03-10,RH-002,471.4,0.0,500,3.7,16.5
2026-03-11,RH-002,500.0,245.4,500,4.3,23.0
2026-03-12,RH-002,465.7,0.0,500,2.8,13.6
2026-03-13,RH-002,412.0,0.0,500,3.4,7.7
2026-03-14,RH-002,357.0,0.0,500,2.7,6.5
2026-03-15,RH-002,500.0,378.0,500,3.5,10.0
2026-03-16,RH-002,472.5,0.0,500,3.6,17.2
2026-03-17,RH-002,436.9,0.0,500,3.3,12.3
2026-03-18,RH-002,411.0,0.0,500,4.0,15.9
2026-03-19,RH-002,377.4,0.0,500,4.0,11.2
2026-03-20,RH-002,340.3,0.0,500,2.4,9.2
2026-03-21,RH-002,302.5,0.0,500,3.9,8.0
2026-03-22,RH-002,264.9,0.0,500,4.0,7.1
2026-03-23,RH-002,221.9,0.0,500,3.6,5.2
2026-03-24,RH-002,197.5,0.0,500,2.8,8.1
2026-03-25,RH-002,499.5,353.6,500,2.7,9.7
2026-03-26,RH-002,446.4,0.0,500,3.0,8.4
2026-03-27,RH-002,422.1,0.0,500,3.3,17.4
2026-03-28,RH-002,390.3,0.0,500,4.4,12.3
2026-03-29,RH-002,359.3,0.0,500,4.3,11.6
2025-10-01,RH-003,400.0,234.1,400,2.1,15.5
2025-10-02,RH-003,370.6,0.0,400,2.1,12.6
2025-10-03,RH-003,347.7,0.0,400,0.9,15.2
2025-10-04,RH-003,324.5,0.0,400,0.7,14.0
2025-10-05,RH-003,309.0,0.0,400,1.8,19.9
2025-10-06,RH-003,287.3,0.0,400,2.3,13.2
2025-10-07,RH-003,400.0,232.9,400,0.9,9.1
2025-10-08,RH-003,379.9,0.0,400,1.5,18.9
2025-10-09,RH-003,400.0,211.6,400,0.7,13.0
2025-10-10,RH-003,400.0,296.4,400,1.0,14.4
2025-10-11,RH-003,372.5,0.0,400,1.3,13.6
2025-10-12,RH-003,347.1,0.0,400,1.5,13.7
2025-10-13,RH-003,306.5,0.0,400,0.9,7.5
2025-10-14,RH-003,283.7,0.0,400,2.0,12.5
2025-10-15,RH-003,400.0,209.6,400,1.4,14.1
2025-10-16,RH-003,365.6,0.0,400,1.6,10.6
2025-10-17,RH-003,400.0,295.6,400,2.1,10.1
2025-10-18,RH-003,381.2,0.0,400,1.0,20.3
2025-10-19,RH-003,354.5,0.0,400,0.8,13.2
2025-10-20,RH-003,334.9,0.0,400,1.8,17.1
2025-10-21,RH-003,304.2,0.0,400,1.1,9.9
2025-10-22,RH-003,400.0,235.2,400,2.3,15.7
2025-10-23,RH-003,380.2,0.0,400,2.2,19.2
2025-10-24,RH-003,338.1,0.0,400,1.1,8.0
2025-10-25,RH-003,400.0,274.0,400,2.8,10.6
2025-10-26,RH-003,379.2,0.0,400,1.2,18.2
2025-10-27,RH-003,338.3,0.0,400,1.1,8.3
2025-10-28,RH-003,315.9,0.0,400,2.8,14.1
2025-10-29,RH-003,293.1,0.0,400,1.1,12.8
2025-10-30,RH-003,263.5,0.0,400,1.4,8.9
2025-10-31,RH-003,400.0,306.1,400,1.3,13.6
2025-11-01,RH-003,371.6,0.0,400,1.8,13.1
2025-11-02,RH-003,335.7,0.0,400,2.1,9.4
2025-11-03,RH-003,314.6,0.0,400,1.0,14.9
2025-11-04,RH-003,290.7,0.0,400,2.9,12.2
2025-11-05,RH-003,400.0,254.9,400,1.6,10.4
2025-11-06,RH-003,400.0,299.7,400,2.7,8.9
2025-11-07,RH-003,360.5,0.0,400,2.6,9.1
2025-11-08,RH-003,325.6,0.0,400,2.5,9.3
2025-11-09,RH-003,295.8,0.0,400,2.1,10.0
2025-11-10,RH-003,400.0,162.8,400,2.8,11.6
2025-11-11,RH-003,376.9,0.0,400,2.3,16.3
2025-11-12,RH-003,346.9,0.0,400,2.1,11.6
2025-11-13,RH-003,306.5,0.0,400,1.4,7.6
2025-11-14,RH-003,266.5,0.0,400,2.8,6.7
2025-11-15,RH-003,221.5,0.0,400,1.5,4.9
2025-11-16,RH-003,183.6,0.0,400,2.9,4.8
2025-11-17,RH-003,164.1,0.0,400,1.7,8.4
2025-11-18,RH-003,343.5,224.4,400,1.5,7.6
2025-11-19,RH-003,324.5,0.0,400,2.8,17.0
2025-11-20,RH-003,306.3,0.0,400,2.4,16.8
2025-11-21,RH-003,265.6,0.0,400,1.4,6.5
2025-11-22,RH-003,400.0,303.2,400,2.2,11.1
2025-11-23,RH-003,362.0,0.0,400,1.7,9.5
2025-11-24,RH-003,343.5,0.0,400,1.2,18.6
2025-11-25,RH-003,326.1,0.0,400,2.4,18.8
2025-11-26,RH-003,286.6,0.0,400,2.3,7.2
2025-11-27,RH-003,400.0,163.2,400,1.9,10.8
2025-11-28,RH-003,381.7,0.0,400,3.1,20.8
2025-11-29,RH-003,347.1,0.0,400,1.2,10.1
2025-11-30,RH-003,400.0,266.8,400,2.2,9.2
2025-12-01,RH-003,364.6,0.0,400,2.7,10.3
2025-12-02,RH-003,343.2,0.0,400,1.9,16.1
2025-12-03,RH-003,400.0,165.7,400,3.0,9.2
2025-12-04,RH-003,366.9,0.0,400,2.6,11.1
2025-12-05,RH-003,334.8,0.0,400,2.5,10.4
2025-12-06,RH-003,305.2,0.0,400,1.8,10.3
2025-12-07,RH-003,286.9,0.0,400,2.0,15.7
2025-12-08,RH-003,246.9,0.0,400,2.0,6.2
2025-12-09,RH-003,400.0,309.3,400,1.4,20.7
2025-12-10,RH-003,400.0,177.5,400,2.3,10.0
2025-12-11,RH-003,364.5,0.0,400,3.2,10.3
2025-12-12,RH-003,400.0,299.2,400,2.6,15.7
2025-12-13,RH-003,379.4,0.0,400,1.4,18.5
2025-12-14,RH-003,353.0,0.0,400,3.3,13.3
2025-12-15,RH-003,400.0,246.2,400,2.1,12.7
2025-12-16,RH-003,378.7,0.0,400,2.2,17.7
2025-12-17,RH-003,345.8,0.0,400,1.9,10.5
2025-12-18,RH-003,400.0,172.3,400,1.6,13.7
2025-12-19,RH-003,364.5,0.0,400,2.5,10.3
2025-12-20,RH-003,400.0,186.5,400,3.3,10.5
2025-12-21,RH-003,400.0,234.5,400,3.2,9.0
2025-12-22,RH-003,382.9,0.0,400,3.3,22.4
2025-12-23,RH-003,351.4,0.0,400,1.6,11.1
2025-12-24,RH-003,400.0,254.0,400,3.2,16.0
2025-12-25,RH-003,400.0,176.8,400,2.8,13.4
2025-12-26,RH-003,384.8,0.0,400,2.5,25.3
2025-12-27,RH-003,362.8,0.0,400,2.1,16.5
2025-12-28,RH-003,400.0,259.6,400,2.3,9.1
2025-12-29,RH-003,369.2,0.0,400,2.4,12.0
2025-12-30,RH-003,400.0,178.8,400,2.1,9.4
2025-12-31,RH-003,400.0,238.0,400,2.1,11.4
2026-01-01,RH-003,382.2,0.0,400,1.7,21.4
2026-01-02,RH-003,357.0,0.0,400,2.8,14.2
2026-01-03,RH-003,321.5,0.0,400,2.6,9.1
2026-01-04,RH-003,400.0,286.0,400,3.4,16.5
2026-01-05,RH-003,380.1,0.0,400,1.7,19.1
2026-01-06,RH-003,339.2,0.0,400,1.6,8.3
2026-01-07,RH-003,299.7,0.0,400,2.9,7.6
2026-01-08,RH-003,281.1,0.0,400,3.2,15.1
2026-01-09,RH-003,262.4,0.0,400,2.1,14.0
2026-01-10,RH-003,239.8,0.0,400,1.9,10.6
