date,store_id,blackout_hours,generator_hours,grid_hours,diesel_consumed_liters,diesel_cost_mmk,grid_cost_mmk,solar_kwh,total_energy_cost_mmk,operating_mode_actual,operating_mode_planned,submitted_by,submitted_at
2025-10-20,RH-001,4.6,3.5,11.4,2.4,6785.0,712.0,87.5,7497.0,FULL,FULL,Ko Zaw,2025-10-20 20:51:00
2025-10-21,RH-001,5.0,4.9,11.0,3.4,10407.0,688.0,50.6,11095.0,FULL,FULL,Daw Su,2025-10-21 19:43:00
2025-10-22,RH-001,7.4,6.1,8.6,3.1,9077.0,538.0,45.0,9615.0,FULL,FULL,Ko Zaw,2025-10-22 19:23:00
2025-10-23,RH-001,8.9,7.3,7.1,5.2,15366.0,444.0,79.6,15810.0,SELECTIVE,SELECTIVE,Ko Zaw,2025-10-23 21:40:00
2025-10-24,RH-001,5.4,4.6,10.6,2.2,6241.0,662.0,71.6,6903.0,FULL,FULL,Daw Su,2025-10-24 19:21:00
2025-10-25,RH-001,4.3,3.0,11.7,1.6,4654.0,731.0,46.7,5385.0,FULL,FULL,U Kyaw,2025-10-25 19:32:00
2025-10-26,RH-001,6.2,4.5,9.8,2.5,7408.0,612.0,52.2,8020.0,FULL,FULL,Ma Thida,2025-10-26 20:33:00
2025-10-27,RH-001,8.1,5.7,7.9,4.0,11452.0,494.0,48.2,11946.0,SELECTIVE,SELECTIVE,Daw Su,2025-10-27 20:49:00
2025-10-28,RH-001,7.4,7.0,8.6,3.8,11343.0,538.0,54.4,11881.0,SELECTIVE,SELECTIVE,Ma Thida,2025-10-28 19:57:00
2025-10-29,RH-001,5.1,3.8,10.9,2.1,6105.0,681.0,76.7,6786.0,FULL,FULL,U Kyaw,2025-10-29 20:24:00
2025-10-30,RH-001,6.0,5.3,10.0,2.8,8207.0,625.0,72.8,8832.0,SELECTIVE,SELECTIVE,Ko Zaw,2025-10-30 19:31:00
2025-10-31,RH-001,4.0,3.5,12.0,2.0,5810.0,750.0,45.0,6560.0,FULL,FULL,U Aung Ko,2025-10-31 19:53:00
2025-11-01,RH-001,5.3,5.0,10.7,2.5,7750.0,669.0,76.5,8419.0,SELECTIVE,SELECTIVE,Daw Su,2025-11-01 20:27:00
2025-11-02,RH-001,3.5,3.0,12.5,1.8,5306.0,781.0,46.0,6087.0,FULL,FULL,Ma Thida,2025-11-02 19:35:00
2025-11-03,RH-001,8.4,7.4,7.6,4.9,14029.0,475.0,92.4,14504.0,FULL,FULL,U Kyaw,2025-11-03 19:02:00
2025-11-04,RH-001,7.9,6.1,8.1,4.0,12040.0,506.0,64.3,12546.0,FULL,FULL,U Kyaw,2025-11-04 19:01:00
2025-11-05,RH-001,5.8,5.5,10.2,3.2,9101.0,638.0,67.7,9739.0,FULL,FULL,Daw Su,2025-11-05 19:24:00
2025-11-06,RH-001,4.3,3.5,11.7,2.5,7388.0,731.0,60.4,8119.0,FULL,FULL,Daw Su,2025-11-06 19:39:00
2025-11-07,RH-001,6.5,4.8,9.5,3.4,9445.0,594.0,51.1,10039.0,FULL,FULL,U Kyaw,2025-11-07 18:09:00
2025-11-08,RH-001,5.0,4.1,11.0,2.1,5930.0,688.0,77.5,6618.0,FULL,FULL,Ko Zaw,2025-11-08 18:56:00
2025-11-09,RH-001,2.8,2.6,13.2,1.6,5112.0,825.0,77.2,5937.0,FULL,FULL,Daw Su,2025-11-09 20:27:00
2025-11-10,RH-001,5.2,5.2,10.8,2.5,8085.0,675.0,37.6,8760.0,FULL,FULL,U Kyaw,2025-11-10 19:36:00
2025-11-11,RH-001,6.1,4.4,9.9,2.1,6686.0,619.0,75.3,7305.0,FULL,FULL,Ko Zaw,2025-11-11 19:58:00
2025-11-12,RH-001,6.1,4.7,9.9,2.8,8837.0,619.0,59.1,9456.0,FULL,FULL,Ma Thida,2025-11-12 18:51:00
2025-11-13,RH-001,6.6,5.0,9.4,3.1,9725.0,588.0,59.3,10313.0,FULL,FULL,Ma Thida,2025-11-13 19:04:00
2025-11-14,RH-001,5.8,4.5,10.2,3.0,9114.0,638.0,91.3,9752.0,FULL,FULL,U Aung Ko,2025-11-14 20:03:00
2025-11-15,RH-001,3.5,3.1,12.5,2.2,6807.0,781.0,84.5,7588.0,FULL,FULL,Ma Thida,2025-11-15 19:27:00
2025-11-16,RH-001,3.4,3.3,12.6,2.2,6842.0,788.0,76.8,7630.0,FULL,FULL,Daw Su,2025-11-16 20:37:00
2025-11-17,RH-001,6.5,5.9,9.5,3.9,12581.0,594.0,88.2,13175.0,FULL,FULL,U Aung Ko,2025-11-17 20:23:00
2025-11-18,RH-001,7.7,6.8,8.3,4.1,12976.0,519.0,61.2,13495.0,FULL,FULL,Daw Su,2025-11-18 19:34:00
2025-11-19,RH-001,3.8,2.7,12.2,1.6,4787.0,762.0,56.2,5549.0,FULL,FULL,Ko Zaw,2025-11-19 20:08:00
2025-11-20,RH-001,6.9,6.6,9.1,4.6,14508.0,569.0,55.8,15077.0,FULL,FULL,Daw Su,2025-11-20 19:14:00
2025-11-21,RH-001,6.1,5.1,9.9,2.8,8660.0,619.0,76.4,9279.0,SELECTIVE,SELECTIVE,Ko Zaw,2025-11-21 19:20:00
2025-11-22,RH-001,3.1,3.0,12.9,1.4,4292.0,806.0,72.1,5098.0,FULL,FULL,U Kyaw,2025-11-22 18:03:00
2025-11-23,RH-001,4.1,3.2,11.9,1.7,4952.0,744.0,77.1,5696.0,FULL,FULL,Ma Thida,2025-11-23 19:35:00
2025-11-24,RH-001,6.5,6.2,9.5,3.6,10595.0,594.0,61.5,11189.0,SELECTIVE,SELECTIVE,U Aung Ko,2025-11-24 18:55:00
2025-11-25,RH-001,5.9,5.1,10.1,2.6,7623.0,631.0,80.2,8254.0,SELECTIVE,SELECTIVE,U Kyaw,2025-11-25 19:55:00
2025-11-26,RH-001,6.7,5.9,9.3,3.9,10869.0,581.0,64.0,11450.0,FULL,FULL,U Aung Ko,2025-11-26 20:57:00
2025-11-27,RH-001,6.2,5.9,9.8,4.0,11308.0,612.0,48.0,11920.0,SELECTIVE,SELECTIVE,Daw Su,2025-11-27 19:18:00
2025-11-28,RH-001,8.7,6.3,7.3,3.9,11216.0,456.0,65.5,11672.0,FULL,FULL,U Aung Ko,2025-11-28 20:33:00
2025-11-29,RH-001,2.3,1.8,13.7,0.9,2633.0,856.0,50.2,3489.0,FULL,FULL,Ko Zaw,2025-11-29 20:31:00
2025-11-30,RH-001,2.7,2.4,13.3,1.4,3931.0,831.0,62.2,4762.0,FULL,FULL,Ma Thida,2025-11-30 20:02:00
2025-12-01,RH-001,3.9,3.2,12.1,2.0,5662.0,756.0,94.2,6418.0,FULL,FULL,Daw Su,2025-12-01 18:18:00
2025-12-02,RH-001,6.9,5.4,9.1,2.5,6890.0,569.0,60.9,7459.0,FULL,FULL,U Aung Ko,2025-12-02 19:58:00
2025-12-03,RH-001,8.4,7.4,7.6,4.2,11546.0,475.0,84.8,12021.0,FULL,FULL,Ma Thida,2025-12-03 20:07:00
2025-12-04,RH-001,4.4,3.7,11.6,1.8,5238.0,725.0,43.2,5963.0,FULL,FULL,Ma Thida,2025-12-04 19:34:00
2025-12-05,RH-001,7.1,5.9,8.9,3.2,9456.0,556.0,48.5,10012.0,REDUCED,REDUCED,U Aung Ko,2025-12-05 20:46:00
2025-12-06,RH-001,3.0,2.5,13.0,1.7,4831.0,812.0,39.1,5643.0,FULL,FULL,U Kyaw,2025-12-06 21:02:00
2025-12-07,RH-001,1.7,1.3,14.3,0.9,2637.0,894.0,53.0,3531.0,FULL,FULL,U Aung Ko,2025-12-07 20:00:00
2025-12-08,RH-001,5.0,3.9,11.0,2.6,7491.0,688.0,83.0,8179.0,FULL,FULL,Ma Thida,2025-12-08 19:51:00
2025-12-09,RH-001,6.4,4.6,9.6,2.2,6167.0,600.0,47.9,6767.0,FULL,FULL,U Aung Ko,2025-12-09 19:56:00
2025-12-10,RH-001,8.0,6.3,8.0,4.4,12703.0,500.0,60.2,13203.0,SELECTIVE,SELECTIVE,U Kyaw,2025-12-10 19:59:00
2025-12-11,RH-001,6.1,5.0,9.9,2.9,8656.0,619.0,61.5,9275.0,FULL,FULL,Ko Zaw,2025-12-11 20:41:00
2025-12-12,RH-001,5.0,3.6,11.0,2.0,5728.0,688.0,58.2,6416.0,FULL,FULL,Ma Thida,2025-12-12 19:19:00
2025-12-13,RH-001,5.0,4.5,11.0,3.0,8991.0,688.0,62.0,9679.0,REDUCED,REDUCED,U Kyaw,2025-12-13 19:45:00
2025-12-14,RH-001,3.9,3.7,12.1,2.3,6134.0,756.0,48.8,6890.0,FULL,FULL,Daw Su,2025-12-14 19:14:00
2025-12-15,RH-001,5.8,4.2,10.2,2.7,7960.0,638.0,52.7,8598.0,REDUCED,REDUCED,Daw Su,2025-12-15 20:28:00
2025-12-16,RH-001,6.1,4.9,9.9,2.7,7819.0,619.0,52.6,8438.0,FULL,FULL,U Kyaw,2025-12-16 19:49:00
2025-12-17,RH-001,5.7,5.0,10.3,2.6,7465.0,644.0,47.7,8109.0,FULL,FULL,Ko Zaw,2025-12-17 20:45:00
2025-12-18,RH-001,6.8,6.0,9.2,3.7,10763.0,575.0,44.0,11338.0,FULL,FULL,Daw Su,2025-12-18 18:35:00
2025-12-19,RH-001,4.6,4.4,11.4,2.8,7700.0,712.0,70.0,8412.0,FULL,FULL,Daw Su,2025-12-19 19:26:00
2025-12-20,RH-001,1.5,1.2,14.5,0.8,2319.0,906.0,41.1,3225.0,FULL,FULL,U Kyaw,2025-12-20 19:37:00
2025-12-21,RH-001,3.4,3.2,12.6,1.6,4725.0,788.0,52.7,5513.0,FULL,FULL,U Kyaw,2025-12-21 18:49:00
2025-12-22,RH-001,6.0,4.4,10.0,2.6,7933.0,625.0,76.3,8558.0,FULL,FULL,Ma Thida,2025-12-22 19:03:00
2025-12-23,RH-001,6.9,5.5,9.1,3.5,10150.0,569.0,57.7,10719.0,FULL,FULL,Ma Thida,2025-12-23 19:20:00
2025-12-24,RH-001,5.0,4.5,11.0,2.5,7212.0,688.0,66.9,7900.0,FULL,FULL,Daw Su,2025-12-24 21:20:00
2025-12-25,RH-001,7.6,6.8,8.4,4.2,12260.0,525.0,85.7,12785.0,FULL,FULL,U Kyaw,2025-12-25 18:23:00
2025-12-26,RH-001,6.7,5.7,9.3,3.6,10948.0,581.0,33.7,11529.0,SELECTIVE,SELECTIVE,Ko Zaw,2025-12-26 18:23:00
2025-12-27,RH-001,2.5,1.8,13.5,1.3,3904.0,844.0,65.5,4748.0,FULL,FULL,Daw Su,2025-12-27 19:10:00
2025-12-28,RH-001,4.5,3.4,11.5,1.7,5005.0,719.0,53.9,5724.0,FULL,FULL,Daw Su,2025-12-28 20:09:00
2025-12-29,RH-001,7.7,7.5,8.3,4.9,14876.0,519.0,70.5,15395.0,FULL,FULL,Daw Su,2025-12-29 18:35:00
2025-12-30,RH-001,7.0,6.0,9.0,2.8,8434.0,562.0,97.5,8996.0,FULL,FULL,U Kyaw,2025-12-30 21:53:00
2025-12-31,RH-001,7.8,6.8,8.2,4.4,13600.0,512.0,83.3,14112.0,FULL,FULL,Ma Thida,2025-12-31 19:39:00
2026-01-01,RH-001,5.1,4.2,10.9,2.4,7121.0,681.0,88.1,7802.0,FULL,FULL,Ko Zaw,2026-01-01 18:31:00
2026-01-02,RH-001,4.1,4.0,11.9,2.5,7515.0,744.0,67.5,8259.0,FULL,FULL,Daw Su,2026-01-02 20:48:00
2026-01-03,RH-001,3.2,3.0,12.8,1.7,5117.0,800.0,88.2,5917.0,FULL,FULL,Ko Zaw,2026-01-03 20:43:00
2026-01-04,RH-001,3.9,3.1,12.1,2.0,5866.0,756.0,56.6,6622.0,FULL,FULL,U Kyaw,2026-01-04 20:01:00
2026-01-05,RH-001,5.1,5.0,10.9,2.9,8938.0,681.0,45.3,9619.0,FULL,FULL,Ko Zaw,2026-01-05 20:32:00
2026-01-06,RH-001,6.4,5.1,9.6,3.1,9573.0,600.0,88.5,10173.0,FULL,FULL,Ma Thida,2026-01-06 20:46:00
2026-01-07,RH-001,8.0,7.4,8.0,5.0,15380.0,500.0,44.1,15880.0,SELECTIVE,SELECTIVE,Ma Thida,2026-01-07 20:24:00
2026-01-08,RH-001,6.4,5.9,9.6,3.9,11950.0,600.0,76.6,12550.0,FULL,FULL,Ma Thida,2026-01-08 19:35:00
2026-01-09,RH-001,4.8,4.7,11.2,2.6,7740.0,700.0,43.9,8440.0,FULL,FULL,Ma Thida,2026-01-09 20:36:00
2026-01-10,RH-001,4.5,3.6,11.5,2.0,6128.0,719.0,90.6,6847.0,FULL,FULL,U Kyaw,2026-01-10 19:36:00
2026-01-11,RH-001,2.9,2.4,13.1,1.6,5610.0,819.0,73.7,6429.0,FULL,FULL,Daw Su,2026-01-11 18:57:00
2026-01-12,RH-001,4.2,3.6,11.8,2.2,7647.0,738.0,84.7,8385.0,FULL,FULL,Ko Zaw,2026-01-12 19:59:00
2026-01-13,RH-001,4.8,3.4,11.2,1.8,6361.0,700.0,84.7,7061.0,FULL,FULL,U Kyaw,2026-01-13 20:18:00
2026-01-14,RH-001,6.0,4.5,10.0,2.4,8604.0,625.0,44.5,9229.0,FULL,FULL,Ko Zaw,2026-01-14 19:58:00
2026-01-15,RH-001,4.6,3.5,11.4,2.2,7920.0,712.0,50.0,8632.0,FULL,FULL,Daw Su,2026-01-15 20:46:00
2026-01-16,RH-001,7.6,6.2,8.4,3.7,13231.0,525.0,52.9,13756.0,FULL,FULL,Ko Zaw,2026-01-16 19:12:00
2026-01-17,RH-001,3.7,2.9,12.3,2.0,7174.0,769.0,52.2,7943.0,FULL,FULL,U Kyaw,2026-01-17 20:28:00
2026-01-18,RH-001,0.8,0.7,15.2,0.4,1426.0,950.0,91.2,2376.0,FULL,FULL,Ma Thida,2026-01-18 20:38:00
2026-01-19,RH-001,6.1,4.3,9.9,2.0,6840.0,619.0,40.3,7459.0,FULL,FULL,Daw Su,2026-01-19 21:24:00
2026-01-20,RH-001,6.2,4.4,9.8,2.3,7236.0,612.0,32.2,7848.0,FULL,FULL,Ma Thida,2026-01-20 19:13:00
2026-01-21,RH-001,7.4,6.2,8.6,4.1,12935.0,538.0,47.1,13473.0,FULL,FULL,Ko Zaw,2026-01-21 18:57:00
2026-01-22,RH-001,4.8,3.6,11.2,2.1,7033.0,700.0,54.3,7733.0,FULL,FULL,Ko Zaw,2026-01-22 20:17:00
2026-01-23,RH-001,6.1,6.0,9.9,2.8,8786.0,619.0,51.0,9405.0,SELECTIVE,SELECTIVE,U Kyaw,2026-01-23 21:17:00
2026-01-24,RH-001,4.3,3.9,11.7,2.0,6358.0,731.0,64.6,7089.0,FULL,FULL,U Aung Ko,2026-01-24 21:11:00
2026-01-25,RH-001,2.6,1.9,13.4,1.2,3782.0,838.0,86.4,4620.0,FULL,FULL,Ma Thida,2026-01-25 19:27:00
2026-01-26,RH-001,8.4,7.2,7.6,4.7,14391.0,475.0,70.5,14866.0,FULL,FULL,U Kyaw,2026-01-26 20:09:00
2026-01-27,RH-001,6.6,5.0,9.4,2.4,7790.0,588.0,75.3,8378.0,SELECTIVE,SELECTIVE,Daw Su,2026-01-27 19:46:00
2026-01-28,RH-001,4.7,3.8,11.3,2.7,8678.0,706.0,74.6,9384.0,FULL,FULL,Daw Su,2026-01-28 19:20:00
2026-01-29,RH-001,8.4,7.8,7.6,3.5,11256.0,475.0,55.0,11731.0,FULL,FULL,Ma Thida,2026-01-29 19:40:00
2026-01-30,RH-001,6.4,5.9,9.6,3.5,10773.0,600.0,47.9,11373.0,FULL,FULL,Daw Su,2026-01-30 19:41:00
2026-01-31,RH-001,2.7,2.3,13.3,1.3,4239.0,831.0,46.6,5070.0,FULL,FULL,Ma Thida,2026-01-31 18:11:00
2026-02-01,RH-001,5.3,3.9,10.7,2.1,6371.0,669.0,62.5,7040.0,FULL,FULL,Ma Thida,2026-02-01 19:08:00
2026-02-02,RH-001,6.7,6.3,9.3,3.4,10846.0,581.0,98.0,11427.0,FULL,FULL,Daw Su,2026-02-02 21:32:00
2026-02-03,RH-001,4.7,3.6,11.3,1.8,5967.0,706.0,86.6,6673.0,FULL,FULL,Ko Zaw,2026-02-03 18:03:00
2026-02-04,RH-001,6.3,5.4,9.7,3.8,11617.0,606.0,80.2,12223.0,FULL,FULL,Daw Su,2026-02-04 20:03:00
2026-02-05,RH-001,6.4,6.2,9.6,3.5,10804.0,600.0,34.5,11404.0,FULL,FULL,Daw Su,2026-02-05 19:24:00
2026-02-06,RH-001,4.8,4.6,11.2,3.1,9722.0,700.0,74.4,10422.0,FULL,FULL,Daw Su,2026-02-06 19:46:00
2026-02-07,RH-001,4.4,3.7,11.6,2.0,6168.0,725.0,77.4,6893.0,FULL,FULL,U Kyaw,2026-02-07 19:25:00
2026-02-08,RH-001,2.6,2.5,13.4,1.6,4794.0,838.0,56.1,5632.0,FULL,FULL,U Aung Ko,2026-02-08 19:21:00
2026-02-09,RH-001,8.5,8.1,7.5,4.6,14357.0,469.0,89.0,14826.0,FULL,FULL,Ko Zaw,2026-02-09 20:01:00
2026-02-10,RH-001,5.3,4.0,10.7,2.7,8170.0,669.0,65.5,8839.0,FULL,FULL,Daw Su,2026-02-10 19:02:00
2026-02-11,RH-001,6.3,6.0,9.7,3.0,9432.0,606.0,41.7,10038.0,SELECTIVE,SELECTIVE,Daw Su,2026-02-11 19:51:00
2026-02-12,RH-001,6.5,6.1,9.5,3.8,11506.0,594.0,69.6,12100.0,FULL,FULL,Ma Thida,2026-02-12 19:26:00
2026-02-13,RH-001,6.7,5.6,9.3,3.2,10304.0,581.0,79.8,10885.0,FULL,FULL,Ko Zaw,2026-02-13 21:13:00
2026-02-14,RH-001,2.7,2.5,13.3,1.7,5149.0,831.0,68.8,5980.0,FULL,FULL,Ko Zaw,2026-02-14 19:50:00
2026-02-15,RH-001,3.4,3.1,12.6,2.0,6122.0,788.0,59.8,6910.0,FULL,FULL,Daw Su,2026-02-15 20:58:00
2026-02-16,RH-001,5.2,5.0,10.8,2.4,7553.0,675.0,73.3,8228.0,FULL,FULL,Daw Su,2026-02-16 19:32:00
2026-02-17,RH-001,7.2,5.7,8.8,3.5,11228.0,550.0,48.7,11778.0,SELECTIVE,SELECTIVE,Daw Su,2026-02-17 18:03:00
2026-02-18,RH-001,6.6,5.8,9.4,4.0,13280.0,588.0,37.4,13868.0,FULL,FULL,Daw Su,2026-02-18 20:29:00
2026-02-19,RH-001,7.3,6.4,8.7,4.6,15649.0,544.0,78.2,16193.0,FULL,FULL,Daw Su,2026-02-19 20:02:00
2026-02-20,RH-001,6.4,6.1,9.6,4.2,13293.0,600.0,67.2,13893.0,FULL,FULL,U Aung Ko,2026-02-20 19:11:00
2026-02-21,RH-001,4.5,3.6,11.5,1.8,5949.0,719.0,66.8,6668.0,FULL,FULL,U Kyaw,2026-02-21 19:56:00
2026-02-22,RH-001,5.6,4.1,10.4,2.1,6947.0,650.0,97.9,7597.0,FULL,FULL,U Aung Ko,2026-02-22 19:26:00
2026-02-23,RH-001,7.7,6.6,8.3,4.1,13719.0,519.0,39.9,14238.0,FULL,FULL,Ko Zaw,2026-02-23 19:25:00
2026-02-24,RH-001,5.4,5.4,10.6,2.9,9228.0,662.0,50.3,9890.0,FULL,FULL,U Aung Ko,2026-02-24 19:55:00
2026-02-25,RH-001,5.0,4.3,11.0,1.9,5596.0,688.0,36.8,6284.0,FULL,FULL,U Kyaw,2026-02-25 18:25:00
2026-02-26,RH-001,3.8,3.1,12.2,1.4,4326.0,762.0,67.1,5088.0,FULL,FULL,U Kyaw,2026-02-26 19:16:00
2026-02-27,RH-001,5.5,4.4,10.5,2.6,7985.0,656.0,77.4,8641.0,SELECTIVE,SELECTIVE,U Kyaw,2026-02-27 21:12:00
2026-02-28,RH-001,1.4,1.2,14.6,0.8,2453.0,912.0,76.9,3365.0,FULL,FULL,Ma Thida,2026-02-28 19:44:00
2026-03-01,RH-001,1.8,1.8,14.2,1.2,3688.0,888.0,65.5,4576.0,FULL,FULL,U Aung Ko,2026-03-01 18:44:00
2026-03-02,RH-001,10.2,7.5,5.8,4.1,12259.0,362.0,73.5,12621.0,FULL,FULL,U Aung Ko,2026-03-02 19:19:00
2026-03-03,RH-001,9.1,6.6,6.9,3.1,9498.0,431.0,98.3,9929.0,FULL,FULL,Ko Zaw,2026-03-03 20:01:00
2026-03-04,RH-001,7.7,6.9,8.3,4.8,14731.0,519.0,109.4,15250.0,SELECTIVE,SELECTIVE,U Kyaw,2026-03-04 18:01:00
2026-03-05,RH-001,7.8,5.6,8.2,3.3,9867.0,512.0,44.8,10379.0,FULL,FULL,U Kyaw,2026-03-05 19:00:00
2026-03-06,RH-001,9.0,8.5,7.0,4.3,13751.0,438.0,98.1,14189.0,FULL,FULL,Ma Thida,2026-03-06 19:42:00
2026-03-07,RH-001,4.3,3.5,11.7,1.6,4942.0,731.0,104.8,5673.0,FULL,FULL,Ma Thida,2026-03-07 19:43:00
2026-03-08,RH-001,3.2,2.8,12.8,1.8,5324.0,800.0,81.2,6124.0,FULL,FULL,U Aung Ko,2026-03-08 18:58:00
2026-03-09,RH-001,4.6,3.3,11.4,1.8,5596.0,712.0,84.3,6308.0,FULL,FULL,Daw Su,2026-03-09 18:06:00
2026-03-10,RH-001,7.6,6.5,8.4,3.6,10735.0,525.0,55.7,11260.0,SELECTIVE,SELECTIVE,U Kyaw,2026-03-10 19:48:00
2026-03-11,RH-001,8.4,7.2,7.6,4.8,15010.0,475.0,89.5,15485.0,FULL,FULL,U Kyaw,2026-03-11 18:49:00
2026-03-12,RH-001,6.1,4.5,9.9,2.3,7273.0,619.0,95.8,7892.0,FULL,FULL,U Kyaw,2026-03-12 19:14:00
2026-03-13,RH-001,7.9,6.2,8.1,4.3,12934.0,506.0,85.1,13440.0,FULL,FULL,Ma Thida,2026-03-13 20:03:00
2026-03-14,RH-001,2.2,1.8,13.8,1.1,3473.0,862.0,69.3,4335.0,FULL,FULL,U Kyaw,2026-03-14 19:21:00
2026-03-15,RH-001,2.3,2.2,13.7,1.2,3743.0,856.0,61.8,4599.0,FULL,FULL,U Kyaw,2026-03-15 18:48:00
2026-03-16,RH-001,5.9,5.8,10.1,3.5,11053.0,631.0,79.7,11684.0,FULL,FULL,Ma Thida,2026-03-16 19:46:00
2026-03-17,RH-001,6.5,5.5,9.5,3.1,10075.0,594.0,131.3,10669.0,FULL,FULL,Ko Zaw,2026-03-17 19:57:00
2026-03-18,RH-001,7.1,5.1,8.9,2.9,8949.0,556.0,69.1,9505.0,REDUCED,REDUCED,U Kyaw,2026-03-18 21:10:00
2026-03-19,RH-001,5.9,4.9,10.1,2.3,7022.0,631.0,96.6,7653.0,FULL,FULL,Ma Thida,2026-03-19 20:40:00
2026-03-20,RH-001,8.4,7.1,7.6,4.8,14640.0,475.0,79.3,15115.0,FULL,FULL,Ko Zaw,2026-03-20 19:23:00
2026-03-21,RH-001,4.5,3.8,11.5,2.2,6741.0,719.0,106.9,7460.0,FULL,FULL,Daw Su,2026-03-21 21:17:00
2026-03-22,RH-001,5.3,4.6,10.7,3.2,10019.0,669.0,51.0,10688.0,SELECTIVE,SELECTIVE,U Aung Ko,2026-03-22 19:48:00
2026-03-23,RH-001,8.8,8.5,7.2,4.0,12692.0,450.0,96.3,13142.0,FULL,FULL,Ma Thida,2026-03-23 20:30:00
2026-03-24,RH-001,10.7,9.8,5.3,6.2,19697.0,331.0,57.2,20028.0,FULL,FULL,Ko Zaw,2026-03-24 20:23:00
2026-03-25,RH-001,7.4,5.6,8.6,3.9,12597.0,538.0,80.4,13135.0,FULL,FULL,Ko Zaw,2026-03-25 20:06:00
2026-03-26,RH-001,8.9,8.2,7.1,4.0,12692.0,444.0,110.7,13136.0,FULL,FULL,Ko Zaw,2026-03-26 20:35:00
2026-03-27,RH-001,8.6,7.6,7.4,3.6,11873.0,462.0,58.9,12335.0,FULL,FULL,Ko Zaw,2026-03-27 19:37:00
2026-03-28,RH-001,3.4,3.2,12.6,2.2,6974.0,788.0,82.4,7762.0,FULL,FULL,Ma Thida,2026-03-28 19:15:00
2026-03-29,RH-001,4.1,3.0,11.9,1.7,5811.0,744.0,109.0,6555.0,FULL,FULL,Ma Thida,2026-03-29 18:01:00
2025-10-01,RH-002,6.5,5.0,9.5,2.6,7384.0,594.0,96.6,7978.0,FULL,FULL,U Kyaw,2025-10-01 21:28:00
2025-10-02,RH-002,7.7,7.3,8.3,4.3,12031.0,519.0,36.7,12550.0,FULL,FULL,U Aung Ko,2025-10-02 19:24:00
2025-10-03,RH-002,9.9,8.3,6.1,5.5,15785.0,381.0,71.8,16166.0,FULL,FULL,Daw Su,2025-10-03 19:45:00
